# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,11]; float sup on a 1e-4 grid (not a proof): 1.120412620
# certified in ARB: C_+(12.5) <= 1.12045   (certificates/cplus_dual_cert.py)
A = 12.5
T = 11
cell 1474099/524288 2978613/1048576 1
cell 2978613/1048576 3009293/1048576 -1426061/524288
cell 3009293/1048576 760059/262144 419871/524288
cell 760059/262144 767861/262144 1
cell 767861/262144 3102917/1048576 -2111215/524288
cell 3102917/1048576 1567327/524288 97403/131072
cell 1567327/524288 1583329/524288 1
cell 1583329/524288 3198927/1048576 1
cell 3198927/1048576 3231463/1048576 1
cell 3231463/1048576 1632133/524288 1
cell 1632133/524288 3297335/1048576 1
cell 3297335/1048576 208167/65536 1
cell 208167/65536 3364277/1048576 1
cell 3364277/1048576 1699075/524288 16759/1048576
cell 1699075/524288 3432291/1048576 -344839/131072
cell 3432291/1048576 3466701/1048576 206191/262144
cell 3466701/1048576 875345/262144 -145849/1048576
cell 875345/262144 3536329/1048576 1
cell 3536329/1048576 892887/262144 465441/1048576
cell 892887/262144 3607037/1048576 -1653369/1048576
cell 3607037/1048576 910699/262144 1
cell 910699/262144 3678827/1048576 -1279671/1048576
cell 3678827/1048576 464391/131072 100211/131072
cell 464391/131072 3751701/1048576 -214865/524288
cell 3751701/1048576 1894273/524288 1
cell 1894273/524288 467/128 -1184109/1048576
cell 467/128 1931527/524288 6495/1048576
cell 1931527/524288 3900717/1048576 -166037/524288
cell 3900717/1048576 3938653/1048576 415615/524288
cell 3938653/1048576 3976863/1048576 -285379/524288
cell 3976863/1048576 2007673/524288 -133751/1048576
cell 2007673/524288 506763/131072 17687/131072
cell 506763/131072 255821/65536 -114539/1048576
cell 255821/65536 1033111/262144 -340847/524288
cell 1033111/262144 2086013/524288 795469/1048576
cell 2086013/524288 1052971/262144 -74533/1048576
cell 1052971/262144 2126009/524288 -857741/1048576
cell 2126009/524288 1073107/262144 361899/524288
cell 1073107/262144 2166557/524288 -71807/131072
cell 2166557/524288 2187039/524288 223961/1048576
cell 2187039/524288 2207659/524288 -293909/1048576
cell 2207659/524288 1114209/262144 84425/131072
cell 1114209/262144 4498631/1048576 -979049/1048576
cell 4498631/1048576 141897/32768 319275/1048576
cell 141897/32768 286441/65536 24937/262144
cell 286441/65536 4625687/1048576 5291/262144
cell 4625687/1048576 1167149/262144 -2651/32768
cell 1167149/262144 588973/131072 69287/524288
cell 588973/131072 4755253/1048576 -126933/262144
cell 4755253/1048576 599875/131072 517541/1048576
cell 599875/131072 4843029/1048576 273867/1048576
cell 4843029/1048576 4887337/1048576 -275359/1048576
cell 4887337/1048576 2465963/524288 933/524288
cell 2465963/524288 1244199/262144 48439/262144
cell 1244199/262144 1255487/262144 9613/262144
cell 1255487/262144 5067381/1048576 399505/524288
cell 5067381/1048576 639137/131072 -464249/1048576
cell 639137/131072 2579547/524288 221867/1048576
cell 2579547/524288 5205373/1048576 -49761/524288
cell 5205373/1048576 164123/32768 1
cell 164123/32768 5298781/1048576 858807/1048576
cell 5298781/1048576 2672955/524288 -2013417/1048576
cell 2672955/524288 5393323/1048576 -635/262144
cell 5393323/1048576 5441019/1048576 1
cell 5441019/1048576 686125/131072 -443837/262144
cell 686125/131072 5537265/1048576 -308853/524288
cell 5537265/1048576 5585815/1048576 1
cell 5585815/1048576 2817325/524288 752427/1048576
cell 2817325/524288 2841885/524288 -357687/262144
cell 2841885/524288 716647/131072 232457/524288
cell 716647/131072 5782867/1048576 -72767/1048576
cell 5782867/1048576 5832845/1048576 185007/524288
cell 5832845/1048576 5883109/1048576 -125255/1048576
cell 5883109/1048576 1483415/262144 -47067/131072
cell 1483415/262144 2992249/524288 106203/524288
cell 2992249/524288 6035623/1048576 104829/262144
cell 6035623/1048576 6087035/1048576 -462375/1048576
cell 6087035/1048576 383671/65536 34757/262144
cell 383671/65536 1547681/262144 29657/262144
cell 1547681/262144 6243001/1048576 -35005/262144
cell 6243001/1048576 3147783/524288 103301/262144
cell 3147783/524288 1587105/262144 -272555/524288
cell 1587105/262144 6401563/1048576 241325/524288
cell 6401563/1048576 6454995/1048576 -90923/524288
cell 6454995/1048576 6508717/1048576 160383/1048576
cell 6508717/1048576 6562729/1048576 -5025/131072
cell 6562729/1048576 6617031/1048576 -128743/1048576
cell 6617031/1048576 6671623/1048576 372835/1048576
cell 6671623/1048576 3363253/524288 -172507/1048576
cell 3363253/524288 423855/65536 -22607/1048576
cell 423855/65536 6837145/1048576 5223/262144
cell 6837145/1048576 6892901/1048576 95719/524288
cell 6892901/1048576 3474475/524288 -19529/262144
cell 3474475/524288 3502645/524288 -135273/524288
cell 3502645/524288 3530961/524288 5097/16384
cell 3530961/524288 3559423/524288 -9623/65536
cell 3559423/524288 56063/8192 -87867/1048576
cell 56063/8192 3616787/524288 -6293/32768
cell 3616787/524288 7291377/1048576 57699/1048576
cell 7291377/1048576 3674737/524288 65113/524288
cell 3674737/524288 7407865/1048576 -290853/524288
cell 7407865/1048576 7466549/1048576 -109529/524288
cell 7466549/1048576 940691/131072 508851/524288
cell 940691/131072 237025/32768 -416369/524288
cell 237025/32768 477773/65536 457321/1048576
cell 477773/65536 7704231/1048576 352197/524288
cell 7704231/1048576 1941097/262144 -514339/524288
cell 1941097/262144 7824841/1048576 2079/4096
cell 7824841/1048576 3942795/524288 21241/1048576
cell 3942795/524288 3973317/524288 -24059/524288
cell 3973317/524288 8007975/1048576 -144583/1048576
cell 8007975/1048576 2017403/262144 23833/131072
cell 2017403/262144 8131545/1048576 23839/1048576
cell 8131545/1048576 8193775/1048576 -28083/131072
cell 8193775/1048576 8256303/1048576 226139/1048576
cell 8256303/1048576 8319127/1048576 -60383/524288
cell 8319127/1048576 8382249/1048576 55085/1048576
cell 8382249/1048576 8445669/1048576 -97441/1048576
cell 8445669/1048576 8509387/1048576 13341/131072
cell 8509387/1048576 8573403/1048576 -19825/262144
cell 8573403/1048576 8637717/1048576 -2313/262144
cell 8637717/1048576 4351165/524288 -655/65536
cell 4351165/524288 4383621/524288 26649/524288
cell 4383621/524288 4416227/524288 -66839/524288
cell 4416227/524288 2224491/262144 12255/262144
cell 2224491/262144 4481887/524288 8697/262144
cell 4481887/524288 2257471/262144 -115423/1048576
cell 2257471/262144 4548147/524288 12753/1048576
cell 4548147/524288 2290751/262144 7173/65536
cell 2290751/262144 9230015/1048576 -175681/1048576
cell 9230015/1048576 9297327/1048576 79335/524288
cell 9297327/1048576 9364939/1048576 -9357/524288
cell 9364939/1048576 9432853/1048576 60871/1048576
cell 9432853/1048576 9501067/1048576 -89827/1048576
cell 9501067/1048576 598099/65536 26767/131072
cell 598099/65536 4819201/524288 -49885/1048576
cell 4819201/524288 9707523/1048576 -70695/524288
cell 9707523/1048576 4888473/524288 209039/1048576
cell 4888473/524288 9846671/1048576 -167281/524288
cell 9846671/1048576 9916699/1048576 120351/524288
cell 9916699/1048576 4993515/524288 -85237/1048576
cell 4993515/524288 157151/16384 -12663/524288
cell 157151/16384 10128601/1048576 39953/1048576
cell 10128601/1048576 5099921/524288 -981/131072
cell 5099921/524288 10271387/1048576 -5619/131072
cell 10271387/1048576 2585809/262144 57635/1048576
