# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup (not a proof): 1.168465108
A = 5
T = 7
cell 1 524299/524288 -4
cell 524299/524288 1048679/1048576 -4
cell 1048679/1048576 524413/524288 -4
cell 524413/524288 131131/131072 -4
cell 131131/131072 1049347/1048576 -4
cell 1049347/1048576 1049727/1048576 -4
cell 1049727/1048576 1050191/1048576 -4
cell 1050191/1048576 1050743/1048576 -4
cell 1050743/1048576 131423/131072 -4
cell 131423/131072 1052117/1048576 -4
cell 1052117/1048576 1052943/1048576 -4
cell 1052943/1048576 131733/131072 -4
cell 131733/131072 527441/524288 -4
cell 527441/524288 1055999/1048576 -4
cell 1055999/1048576 1057215/1048576 -4
cell 1057215/1048576 1058533/1048576 -4
cell 1058533/1048576 529977/524288 -4
cell 529977/524288 1061479/1048576 -4
cell 1061479/1048576 1063109/1048576 -4
cell 1063109/1048576 1064845/1048576 -4
cell 1064845/1048576 16667/16384 -4
cell 16667/16384 33395/32768 -4
cell 33395/32768 1070701/1048576 -4
cell 1070701/1048576 1072873/1048576 -4
cell 1072873/1048576 268789/262144 -4
cell 268789/262144 1077551/1048576 -4
cell 1077551/1048576 270015/262144 -4
cell 270015/262144 541341/524288 -4
cell 541341/524288 1085419/1048576 -4
cell 1085419/1048576 68017/65536 -4
cell 68017/65536 545621/524288 -4
cell 545621/524288 136791/131072 -4
cell 136791/131072 1097533/1048576 -4
cell 1097533/1048576 137607/131072 -4
cell 137607/131072 1104299/1048576 -4
cell 1104299/1048576 553931/524288 -4
cell 553931/524288 1111545/1048576 -4
cell 1111545/1048576 557675/524288 -4
cell 557675/524288 1119277/1048576 -4
cell 1119277/1048576 1123327/1048576 -4
cell 1123327/1048576 281875/262144 -4
cell 281875/262144 1131797/1048576 -4
cell 1131797/1048576 1136219/1048576 -4
cell 1136219/1048576 1140765/1048576 -4
cell 1140765/1048576 572719/524288 -4
cell 572719/524288 287559/262144 -4
cell 287559/262144 577581/524288 -4
cell 577581/524288 1160215/1048576 -4
cell 1160215/1048576 291349/262144 -4
cell 291349/262144 1170705/1048576 -4
cell 1170705/1048576 1176143/1048576 -4
cell 1176143/1048576 1181711/1048576 -4
cell 1181711/1048576 1187409/1048576 -4
cell 1187409/1048576 1193237/1048576 -4
cell 1193237/1048576 299799/262144 -4
cell 299799/262144 602643/524288 -4
cell 602643/524288 1211509/1048576 -4
cell 1211509/1048576 152233/131072 -4
cell 152233/131072 38261/32768 -4
cell 38261/32768 1230973/1048576 -130247/32768
cell 1230973/1048576 38679/32768 1
cell 38679/32768 1244617/1048576 1
cell 1244617/1048576 156455/131072 1
cell 156455/131072 1258799/1048576 1
cell 1258799/1048576 1266093/1048576 1
cell 1266093/1048576 1273523/1048576 1
cell 1273523/1048576 640545/524288 1
cell 640545/524288 1288793/1048576 1
cell 1288793/1048576 648317/524288 1
cell 648317/524288 1304611/1048576 1
cell 1304611/1048576 1312727/1048576 1
cell 1312727/1048576 660491/524288 1
cell 660491/524288 664687/524288 1
cell 664687/524288 668953/524288 1
cell 668953/524288 673289/524288 1
cell 673289/524288 1355389/1048576 1
cell 1355389/1048576 1364341/1048576 1
cell 1364341/1048576 1373433/1048576 1
cell 1373433/1048576 691333/524288 1
cell 691333/524288 1392041/1048576 1
cell 1392041/1048576 1401557/1048576 1
cell 1401557/1048576 1411215/1048576 1
cell 1411215/1048576 177627/131072 1
cell 177627/131072 1430959/1048576 1
cell 1430959/1048576 720523/524288 1
cell 720523/524288 1451275/1048576 1
cell 1451275/1048576 1461649/1048576 1
cell 1461649/1048576 1472167/1048576 1
cell 1472167/1048576 1482829/1048576 1
cell 1482829/1048576 1493635/1048576 1
cell 1493635/1048576 1504587/1048576 1
cell 1504587/1048576 378921/262144 -622013/1048576
cell 378921/262144 1526927/1048576 -4
cell 1526927/1048576 384579/262144 -4
cell 384579/262144 1549851/1048576 -4
cell 1549851/1048576 1561533/1048576 -717431/1048576
cell 1561533/1048576 786681/524288 1
cell 786681/524288 792669/524288 1
cell 792669/524288 798731/524288 1
cell 798731/524288 1609733/1048576 1
cell 1609733/1048576 1622153/1048576 1
cell 1622153/1048576 1634721/1048576 1
cell 1634721/1048576 1647437/1048576 1
cell 1647437/1048576 1660303/1048576 1
cell 1660303/1048576 836659/524288 1
cell 836659/524288 1686483/1048576 1
cell 1686483/1048576 1699797/1048576 1
cell 1699797/1048576 856631/524288 1
cell 856631/524288 1726877/1048576 1
cell 1726877/1048576 1740643/1048576 1
cell 1740643/1048576 27415/16384 1
cell 27415/16384 442157/262144 1
cell 442157/262144 27857/16384 1
cell 27857/16384 449305/262144 -2711207/1048576
cell 449305/262144 1811743/1048576 -4
cell 1811743/1048576 1826419/1048576 -4
cell 1826419/1048576 57539/32768 462861/1048576
cell 57539/32768 1856229/1048576 1
cell 1856229/1048576 467841/262144 1
cell 467841/262144 1886651/1048576 1
cell 1886651/1048576 1902093/1048576 1
cell 1902093/1048576 1917689/1048576 1
cell 1917689/1048576 966719/524288 1
cell 966719/524288 974671/524288 1
cell 974671/524288 1965401/1048576 1
cell 1965401/1048576 1981615/1048576 1
cell 1981615/1048576 1997983/1048576 1
cell 1997983/1048576 503627/262144 1
cell 503627/262144 2031187/1048576 1
cell 2031187/1048576 2048023/1048576 -2876355/1048576
cell 2048023/1048576 2065015/1048576 -4
cell 2065015/1048576 2082163/1048576 -2075813/1048576
cell 2082163/1048576 524867/262144 1
cell 524867/262144 2116929/1048576 1
cell 2116929/1048576 533637/262144 1
cell 533637/262144 538081/262144 1
cell 538081/262144 1085129/524288 1
cell 1085129/524288 2188349/1048576 1
cell 2188349/1048576 1103299/524288 1
cell 1103299/524288 1112503/524288 -488337/1048576
cell 1112503/524288 560893/262144 -758933/262144
cell 560893/262144 2262297/1048576 1
cell 2262297/1048576 570295/262144 1
cell 570295/262144 2300223/1048576 1
cell 2300223/1048576 2319425/1048576 1
cell 2319425/1048576 2338787/1048576 85611/524288
cell 2338787/1048576 589577/262144 -4
cell 589577/262144 1188995/524288 227349/524288
cell 1188995/524288 2397831/1048576 -714751/1048576
cell 2397831/1048576 1208917/524288 -2769/65536
cell 1208917/524288 609499/262144 1
cell 609499/262144 153645/65536 1
cell 153645/65536 2478805/1048576 457329/524288
cell 2478805/1048576 2499451/1048576 -54657/524288
cell 2499451/1048576 2520259/1048576 1
cell 2520259/1048576 635307/262144 -620209/1048576
cell 635307/262144 2562359/1048576 -1208803/524288
cell 2562359/1048576 645913/262144 1
cell 645913/262144 651277/262144 -177289/524288
cell 651277/262144 1313363/524288 -415457/524288
cell 1313363/524288 2648507/1048576 1
cell 2648507/1048576 2670451/1048576 -597253/1048576
cell 2670451/1048576 1346279/524288 441049/1048576
cell 1346279/524288 2714829/1048576 910863/1048576
cell 2714829/1048576 2737263/1048576 -3423575/1048576
cell 2737263/1048576 689965/262144 1
cell 689965/262144 1391311/524288 1
cell 1391311/524288 701387/262144 -2603/131072
cell 701387/262144 1414319/524288 1
cell 1414319/524288 2851893/1048576 -5219/524288
cell 2851893/1048576 179707/65536 -61835/16384
cell 179707/65536 2898897/1048576 1
cell 2898897/1048576 1461323/524288 94663/131072
cell 1461323/524288 2946561/1048576 -1470713/1048576
cell 2946561/1048576 2970641/1048576 119407/524288
cell 2970641/1048576 2994887/1048576 404297/524288
cell 2994887/1048576 3019299/1048576 1
cell 3019299/1048576 3043877/1048576 -902621/262144
cell 3043877/1048576 3068621/1048576 394753/524288
cell 3068621/1048576 773383/262144 -129169/1048576
cell 773383/262144 3118609/1048576 81861/1048576
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 -426651/262144
cell 198079/65536 1597421/524288 -255193/131072
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 -109997/1048576
cell 3246501/1048576 1636291/524288 939445/1048576
cell 1636291/524288 3298831/1048576 -847553/1048576
cell 3298831/1048576 51957/16384 148189/1048576
cell 51957/16384 3351833/1048576 1
cell 3351833/1048576 1689293/524288 85071/131072
cell 1689293/524288 851377/262144 834339/1048576
cell 851377/262144 3432599/1048576 1
cell 3432599/1048576 3459859/1048576 1
cell 3459859/1048576 435911/131072 -103447/524288
cell 435911/131072 3514887/1048576 274307/524288
cell 3514887/1048576 1771327/524288 420159/524288
cell 1771327/524288 111581/32768 1
cell 111581/32768 3598699/1048576 -2513395/1048576
cell 3598699/1048576 3626977/1048576 -55691/524288
cell 3626977/1048576 14279/4096 929837/1048576
cell 14279/4096 1842021/524288 -2256805/1048576
cell 1842021/524288 1856415/524288 1
cell 1856415/524288 3741789/1048576 -14281/131072
cell 3741789/1048576 3770919/1048576 1002331/1048576
cell 3770919/1048576 950055/262144 -366785/262144
cell 950055/262144 957423/262144 582871/1048576
cell 957423/262144 482417/131072 1
cell 482417/131072 3889151/1048576 -1064745/1048576
cell 3889151/1048576 3919137/1048576 1
cell 3919137/1048576 246831/65536 -189735/1048576
cell 246831/65536 1989813/524288 -504673/1048576
cell 1989813/524288 4010129/1048576 -994633/1048576
cell 4010129/1048576 1010201/262144 -2305/65536
cell 1010201/262144 1017913/262144 129185/524288
cell 1017913/262144 256417/65536 1
cell 256417/65536 4133865/1048576 -978859/524288
cell 4133865/1048576 4165231/1048576 1
cell 4165231/1048576 2098385/524288 464831/524288
cell 2098385/524288 2114241/524288 898243/1048576
cell 2114241/524288 266273/65536 -3324123/1048576
cell 266273/65536 4292427/1048576 1
cell 4292427/1048576 4324661/1048576 1
cell 4324661/1048576 1089267/262144 -2011073/1048576
cell 1089267/262144 4389649/1048576 1
cell 4389649/1048576 1105601/262144 1
cell 1105601/262144 2227667/524288 -1162317/1048576
cell 2227667/524288 2244219/524288 -124767/524288
cell 2244219/524288 4521717/1048576 123411/262144
cell 4521717/1048576 4555171/1048576 1025/8192
cell 4555171/1048576 17925/4096 173335/1048576
cell 17925/4096 1155651/262144 -434331/262144
cell 1155651/262144 4656583/1048576 1
cell 4656583/1048576 2345369/524288 1
cell 2345369/524288 4725069/1048576 -838625/524288
cell 4725069/1048576 4759575/1048576 646833/1048576
cell 4759575/1048576 4794257/1048576 -153879/524288
cell 4794257/1048576 4829115/1048576 511931/524288
cell 4829115/1048576 4864149/1048576 -51781/1048576
cell 4864149/1048576 153105/32768 -555063/524288
cell 153105/32768 4934747/1048576 -21181/1048576
cell 4934747/1048576 4970311/1048576 584835/1048576
cell 4970311/1048576 5006051/1048576 -207725/524288
cell 5006051/1048576 5041969/1048576 1012967/1048576
cell 5041969/1048576 5078063/1048576 -845437/1048576
cell 5078063/1048576 5114335/1048576 1
cell 5114335/1048576 80481/16384 -27735/32768
cell 80481/16384 5187411/1048576 218709/262144
cell 5187411/1048576 5224215/1048576 -166355/131072
cell 5224215/1048576 5261197/1048576 1
cell 5261197/1048576 5298357/1048576 -382179/1048576
cell 5298357/1048576 333481/65536 826231/1048576
cell 333481/65536 1343303/262144 107093/1048576
cell 1343303/262144 5410907/1048576 -829955/1048576
cell 5410907/1048576 1362195/262144 1
cell 1362195/262144 342927/65536 -198439/1048576
cell 342927/65536 2762531/524288 -450145/524288
cell 2762531/524288 347717/65536 480317/524288
cell 347717/65536 5602061/1048576 -256135/524288
cell 5602061/1048576 5640829/1048576 11555/32768
cell 5640829/1048576 177493/32768 179079/1048576
cell 177493/32768 5718903/1048576 -897413/524288
cell 5718903/1048576 5758209/1048576 1
cell 5758209/1048576 5797695/1048576 -119467/262144
cell 5797695/1048576 5837361/1048576 -121145/262144
cell 5837361/1048576 5877207/1048576 744673/1048576
cell 5877207/1048576 5917233/1048576 77203/262144
cell 5917233/1048576 5957439/1048576 6097/32768
cell 5957439/1048576 2998913/524288 -457019/524288
cell 2998913/524288 3019197/524288 1
cell 3019197/524288 3039571/524288 -1237523/1048576
cell 3039571/524288 6120071/1048576 130673/262144
cell 6120071/1048576 6161181/1048576 -88745/1048576
cell 6161181/1048576 775309/131072 174017/1048576
cell 775309/131072 780493/131072 1
cell 780493/131072 3142799/524288 -477987/262144
cell 3142799/524288 6327433/1048576 1008873/1048576
cell 6327433/1048576 3184725/524288 -167011/262144
cell 3184725/524288 50091/8192 24035/32768
cell 50091/8192 6454029/1048576 162351/262144
cell 6454029/1048576 6496591/1048576 -582517/524288
