# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,9]; float sup on a 1e-4 grid (not a proof): 1.116130503
# certified in ARB: C_+(14) <= 1.11619   (certificates/cplus_dual_cert.py)
A = 14
T = 9
cell 1 524303/524288 -13
cell 524303/524288 1048713/1048576 -13
cell 1048713/1048576 524455/524288 -13
cell 524455/524288 1049205/1048576 -13
cell 1049205/1048576 1049603/1048576 -13
cell 1049603/1048576 525055/524288 -13
cell 525055/524288 525365/524288 -13
cell 525365/524288 1051465/1048576 -13
cell 1051465/1048576 32885/32768 -13
cell 32885/32768 1053297/1048576 -13
cell 1053297/1048576 527199/524288 -13
cell 527199/524288 1055627/1048576 -13
cell 1055627/1048576 132123/131072 -13
cell 132123/131072 1058473/1048576 -13
cell 1058473/1048576 1060095/1048576 -13
cell 1060095/1048576 1061853/1048576 -13
cell 1061853/1048576 1063747/1048576 -13
cell 1063747/1048576 266445/262144 -13
cell 266445/262144 1067953/1048576 -13
cell 1067953/1048576 1070267/1048576 -13
cell 1070267/1048576 1072725/1048576 -13
cell 1072725/1048576 8401/8192 -13
cell 8401/8192 269519/262144 -13
cell 269519/262144 270243/262144 -13
cell 270243/262144 67751/65536 -13
cell 67751/65536 543605/524288 -13
cell 543605/524288 545277/524288 -13
cell 545277/524288 1094051/1048576 -13
cell 1094051/1048576 1097701/1048576 -13
cell 1097701/1048576 1101505/1048576 -13
cell 1101505/1048576 138183/131072 -5992511/1048576
cell 138183/131072 1109579/1048576 1
cell 1109579/1048576 278463/262144 1
cell 278463/262144 1118283/1048576 1
cell 1118283/1048576 1122873/1048576 1
cell 1122873/1048576 140953/131072 1
cell 140953/131072 1132535/1048576 1
cell 1132535/1048576 142201/131072 1
cell 142201/131072 285711/262144 1
cell 285711/262144 287061/262144 1
cell 287061/262144 72113/65536 1
cell 72113/65536 1159537/1048576 1
cell 1159537/1048576 1165433/1048576 1
cell 1165433/1048576 1171495/1048576 1
cell 1171495/1048576 1177725/1048576 1
cell 1177725/1048576 1184123/1048576 -2124723/262144
cell 1184123/1048576 1190691/1048576 1
cell 1190691/1048576 299357/262144 1
cell 299357/262144 1204335/1048576 1
cell 1204335/1048576 1211415/1048576 1
cell 1211415/1048576 609333/524288 1
cell 609333/524288 1226089/1048576 1
cell 1226089/1048576 616843/524288 1
cell 616843/524288 1241457/1048576 1
cell 1241457/1048576 1249403/1048576 1
cell 1249403/1048576 1257523/1048576 1
cell 1257523/1048576 316455/262144 1
cell 316455/262144 1274293/1048576 1
cell 1274293/1048576 10023/8192 1
cell 10023/8192 322943/262144 1
cell 322943/262144 650389/524288 1
cell 650389/524288 327491/262144 1
cell 327491/262144 41229/32768 -8462801/1048576
cell 41229/32768 1328873/1048576 1
cell 1328873/1048576 1338599/1048576 140281/262144
cell 1338599/1048576 674253/524288 1
cell 674253/524288 1358595/1048576 1
cell 1358595/1048576 684433/524288 1
cell 684433/524288 1379319/1048576 1
cell 1379319/1048576 1389957/1048576 31527/65536
cell 1389957/1048576 700389/524288 1
cell 700389/524288 1411783/1048576 -2895217/1048576
cell 1411783/1048576 711487/524288 1
cell 711487/524288 717175/524288 1
cell 717175/524288 180739/131072 1
cell 180739/131072 1457661/1048576 1
cell 1457661/1048576 367399/262144 1
cell 367399/262144 1481719/1048576 1
cell 1481719/1048576 747015/524288 1
cell 747015/524288 1506529/1048576 -263245/65536
cell 1506529/1048576 1519217/1048576 1
cell 1519217/1048576 1532095/1048576 7683/1048576
cell 1532095/1048576 1545163/1048576 1
cell 1545163/1048576 389605/262144 1
cell 389605/262144 1571869/1048576 1
cell 1571869/1048576 1585509/1048576 -2775707/1048576
cell 1585509/1048576 399835/262144 1
cell 399835/262144 1613363/1048576 1
cell 1613363/1048576 1627579/1048576 1
cell 1627579/1048576 410497/262144 1
cell 410497/262144 1656591/1048576 -369855/524288
cell 1656591/1048576 1671387/1048576 1
cell 1671387/1048576 843189/524288 -140191/131072
cell 843189/524288 1701563/1048576 1
cell 1701563/1048576 1716943/1048576 1
cell 1716943/1048576 1732519/1048576 -2260271/1048576
cell 1732519/1048576 1748291/1048576 1
cell 1748291/1048576 1764259/1048576 164421/1048576
cell 1764259/1048576 1780423/1048576 1
cell 1780423/1048576 1796785/1048576 1
cell 1796785/1048576 1813345/1048576 -283223/131072
cell 1813345/1048576 915051/524288 1
cell 915051/524288 923529/524288 1
cell 923529/524288 466053/262144 1
cell 466053/262144 940783/524288 -1358109/1048576
cell 940783/524288 1899119/1048576 1
cell 1899119/1048576 1916871/1048576 -149845/262144
cell 1916871/1048576 241853/131072 1
cell 241853/131072 976489/524288 -1668091/1048576
cell 976489/524288 492833/262144 1
cell 492833/262144 7773/4096 1
cell 7773/4096 1004323/524288 -33059/32768
cell 1004323/524288 2027605/1048576 1
cell 2027605/1048576 2046767/1048576 -78115/262144
cell 2046767/1048576 516533/262144 1
cell 516533/262144 521425/262144 -668999/524288
cell 521425/262144 2105471/1048576 1
cell 2105471/1048576 2125447/1048576 -53815/131072
cell 2125447/1048576 1072813/524288 1
cell 1072813/524288 1083005/524288 -455735/262144
cell 1083005/524288 2186599/1048576 1
cell 2186599/1048576 2207393/1048576 1
cell 2207393/1048576 278549/131072 -1342083/1048576
cell 278549/131072 1124799/524288 318409/1048576
cell 1124799/524288 2271009/1048576 1
cell 2271009/1048576 2292627/1048576 -1038621/1048576
cell 2292627/1048576 578613/262144 31919/65536
cell 578613/262144 2336485/1048576 1
cell 2336485/1048576 589681/262144 -2791889/1048576
cell 589681/262144 595293/262144 1
cell 595293/262144 600957/262144 1
cell 600957/262144 606673/262144 -758427/1048576
cell 606673/262144 2449765/1048576 1
cell 2449765/1048576 2473047/1048576 -120445/65536
cell 2473047/1048576 2496539/1048576 1
cell 2496539/1048576 157515/65536 1
cell 157515/65536 318019/131072 -3039815/1048576
cell 318019/131072 2568273/1048576 1
cell 2568273/1048576 1296303/524288 1
cell 1296303/524288 2617149/1048576 -419689/1048576
cell 2617149/1048576 165119/65536 -1359333/1048576
cell 165119/65536 1333435/524288 1
cell 1333435/524288 168253/65536 49799/262144
cell 168253/65536 2717439/1048576 -1746477/1048576
cell 2717439/1048576 1371521/524288 1
cell 1371521/524288 2768857/1048576 -453027/262144
cell 2768857/1048576 1397443/524288 1
cell 1397443/524288 352641/131072 -48985/1048576
cell 352641/131072 2847583/1048576 -86901/131072
cell 2847583/1048576 2874253/1048576 1
cell 2874253/1048576 2901137/1048576 -322473/262144
cell 2901137/1048576 2928235/1048576 -2468745/1048576
cell 2928235/1048576 738887/262144 1
cell 738887/262144 745769/262144 1
cell 745769/262144 3010819/1048576 -455917/524288
cell 3010819/1048576 1519389/524288 -814431/1048576
cell 1519389/524288 3066953/1048576 1
cell 3066953/1048576 3095345/1048576 -353345/131072
cell 3095345/1048576 195247/65536 -621661/1048576
cell 195247/65536 394097/131072 1
cell 394097/131072 1590909/524288 1
cell 1590909/524288 802769/262144 1
cell 802769/262144 405069/131072 1
cell 405069/131072 1635123/524288 1
cell 1635123/524288 1650079/524288 1
cell 1650079/524288 3330289/1048576 1
cell 3330289/1048576 3360637/1048576 1
cell 3360637/1048576 3391205/1048576 -3109503/1048576
cell 3391205/1048576 427749/131072 1
cell 427749/131072 1726499/524288 -705487/1048576
cell 1726499/524288 54441/16384 762993/1048576
cell 54441/16384 1757835/524288 1
cell 1757835/524288 443417/131072 -1227181/1048576
cell 443417/131072 3579223/1048576 371445/1048576
cell 3579223/1048576 1805665/524288 -161365/524288
cell 1805665/524288 1821829/524288 -338131/524288
cell 1821829/524288 3676207/1048576 220649/1048576
cell 3676207/1048576 3708977/1048576 1
cell 3708977/1048576 1870985/524288 -528071/1048576
cell 1870985/524288 235949/65536 -329045/1048576
cell 235949/65536 952155/262144 -199233/524288
cell 952155/262144 3842279/1048576 23043/262144
cell 3842279/1048576 60565/16384 3973/131072
cell 60565/16384 488783/131072 218073/524288
cell 488783/131072 246537/65536 -554939/1048576
cell 246537/65536 3979143/1048576 21219/131072
cell 3979143/1048576 4013917/1048576 -111947/1048576
cell 4013917/1048576 1012229/262144 -201529/262144
cell 1012229/262144 2042069/524288 885655/1048576
cell 2042069/524288 4119585/1048576 -250099/1048576
cell 4119585/1048576 519407/131072 22561/262144
cell 519407/131072 261947/65536 -145609/262144
cell 261947/65536 2113637/524288 110189/524288
cell 2113637/524288 1065905/262144 -92855/524288
cell 1065905/262144 134381/32768 45513/1048576
cell 134381/32768 2168495/524288 323653/1048576
cell 2168495/524288 2187007/524288 -654919/1048576
cell 2187007/524288 34463/8192 139643/262144
cell 34463/8192 1112185/262144 -812091/1048576
cell 1112185/262144 4486443/1048576 18907/131072
cell 4486443/1048576 4524373/1048576 1
cell 4524373/1048576 4562531/1048576 -36303/32768
cell 4562531/1048576 4600915/1048576 332381/1048576
cell 4600915/1048576 4639527/1048576 -87223/262144
cell 4639527/1048576 4678367/1048576 556353/1048576
cell 4678367/1048576 4717435/1048576 -49555/524288
cell 4717435/1048576 4756731/1048576 13489/524288
cell 4756731/1048576 149883/32768 -443589/1048576
cell 149883/32768 4836009/1048576 621969/1048576
cell 4836009/1048576 4875991/1048576 -19989/32768
cell 4875991/1048576 4916203/1048576 1
cell 4916203/1048576 4956643/1048576 135233/1048576
cell 4956643/1048576 2498657/524288 -185977/131072
cell 2498657/524288 2519107/524288 1
cell 2519107/524288 317459/65536 1
cell 317459/65536 80011/16384 -15163/131072
cell 80011/16384 2581147/524288 -1168607/1048576
cell 2581147/524288 1301029/262144 1016897/1048576
cell 1301029/262144 655771/131072 71657/262144
cell 655771/131072 5288451/1048576 1
cell 5288451/1048576 5330965/1048576 -1912803/1048576
cell 5330965/1048576 5373711/1048576 99723/1048576
cell 5373711/1048576 5416689/1048576 1
cell 5416689/1048576 2729949/524288 -1900337/1048576
cell 2729949/524288 1375835/262144 4081/131072
cell 1375835/262144 2773507/524288 416569/1048576
cell 2773507/524288 698865/131072 479733/1048576
cell 698865/131072 5635059/1048576 -356477/524288
cell 5635059/1048576 5679431/1048576 70249/524288
cell 5679431/1048576 1431009/262144 -49431/524288
cell 1431009/262144 5768875/1048576 108917/1048576
cell 5768875/1048576 5813947/1048576 534763/1048576
cell 5813947/1048576 5859253/1048576 -51847/65536
cell 5859253/1048576 738099/131072 221585/1048576
cell 738099/131072 2975283/524288 134333/524288
cell 2975283/524288 2998287/524288 17101/524288
cell 2998287/524288 6042817/1048576 -109301/524288
cell 6042817/1048576 6089295/1048576 62971/1048576
cell 6089295/1048576 6136007/1048576 -8757/131072
cell 6136007/1048576 3091477/524288 254203/1048576
cell 3091477/524288 6230137/1048576 41617/524288
cell 6230137/1048576 1569389/262144 -236039/524288
cell 1569389/262144 3162605/524288 424371/1048576
cell 3162605/524288 1593275/262144 -85887/1048576
cell 1593275/262144 3210613/524288 182829/1048576
cell 3210613/524288 1617397/262144 -75087/262144
cell 1617397/262144 6518187/1048576 263185/1048576
cell 6518187/1048576 6567023/1048576 -56211/262144
cell 6567023/1048576 6616095/1048576 612463/1048576
cell 6616095/1048576 1666351/262144 -189581/262144
cell 1666351/262144 6714951/1048576 405015/1048576
cell 6714951/1048576 6764735/1048576 45051/524288
cell 6764735/1048576 6814757/1048576 -17853/1048576
cell 6814757/1048576 6865017/1048576 -251681/1048576
cell 6865017/1048576 6915515/1048576 154171/524288
cell 6915515/1048576 3483125/524288 -101295/524288
cell 3483125/524288 7017225/1048576 351043/1048576
cell 7017225/1048576 7068437/1048576 -538165/1048576
cell 7068437/1048576 7119889/1048576 -5283/262144
cell 7119889/1048576 7171579/1048576 465197/524288
cell 7171579/1048576 7223509/1048576 -1520039/1048576
cell 7223509/1048576 3637839/524288 172309/262144
cell 3637839/524288 3664043/524288 70155/1048576
cell 3664043/524288 7380735/1048576 -153229/1048576
cell 7380735/1048576 3716811/524288 -454435/1048576
cell 3716811/524288 3743375/524288 724191/1048576
cell 3743375/524288 7540119/1048576 -104367/262144
cell 7540119/1048576 7593727/1048576 104693/1048576
cell 7593727/1048576 955947/131072 3265/8192
cell 955947/131072 3850833/524288 -175005/524288
cell 3850833/524288 7755997/1048576 61061/524288
cell 7755997/1048576 7810569/1048576 -22397/1048576
cell 7810569/1048576 3932691/524288 79137/1048576
cell 3932691/524288 7920437/1048576 -34215/1048576
cell 7920437/1048576 3987867/524288 -151427/1048576
cell 3987867/524288 1003909/131072 33595/131072
cell 1003909/131072 2021763/262144 -87073/524288
cell 2021763/262144 4071537/524288 15205/1048576
cell 4071537/524288 8199339/1048576 24571/1048576
cell 8199339/1048576 4127923/524288 28817/1048576
cell 4127923/524288 2078149/262144 -7233/1048576
cell 2078149/262144 8369589/1048576 -58821/524288
cell 8369589/1048576 8426825/1048576 82393/524288
cell 8426825/1048576 530269/65536 -40869/524288
cell 530269/65536 4271013/524288 -9047/262144
cell 4271013/524288 1074999/131072 16589/524288
cell 1074999/131072 4329101/524288 8311/1048576
cell 4329101/524288 544791/65536 297/1048576
cell 544791/65536 8775353/1048576 -61859/524288
cell 8775353/1048576 8834295/1048576 199449/1048576
cell 8834295/1048576 8893481/1048576 -81771/524288
