# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.105579494
# certified in ARB: C_+(21) <= 1.10563   (certificates/cplus_dual_cert.py)
A = 21
T = 13
cell 635927/524288 1282215/1048576 1
cell 1282215/1048576 646417/524288 1
cell 646417/524288 651855/524288 1
cell 651855/524288 657423/524288 1
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 -121569/1048576
cell 1337897/1048576 168727/131072 -2824731/1048576
cell 168727/131072 1361997/1048576 1
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 510269/1048576
cell 86697/65536 1400127/1048576 -638607/262144
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 1
cell 1440657/1048576 1454705/1048576 -138611/262144
cell 1454705/1048576 734511/524288 655/262144
cell 734511/524288 1483611/1048576 1
cell 1483611/1048576 1498471/1048576 1
cell 1498471/1048576 378401/262144 858575/1048576
cell 378401/262144 764505/524288 -756513/1048576
cell 764505/524288 1544691/1048576 1
cell 1544691/1048576 1560647/1048576 1
cell 1560647/1048576 1576879/1048576 -882375/524288
cell 1576879/1048576 1593387/1048576 777461/1048576
cell 1593387/1048576 1610173/1048576 1
cell 1610173/1048576 1627237/1048576 -83535/131072
cell 1627237/1048576 411145/262144 518527/1048576
cell 411145/262144 1662203/1048576 1
cell 1662203/1048576 840053/524288 -94337/131072
cell 840053/524288 849145/524288 -46833/262144
cell 849145/524288 1716757/1048576 1
cell 1716757/1048576 867753/524288 1
cell 867753/524288 877269/524288 -393877/1048576
cell 877269/524288 1773855/1048576 -106175/524288
cell 1773855/1048576 112091/65536 971291/1048576
cell 112091/65536 906671/524288 -479227/524288
cell 906671/524288 1833515/1048576 1
cell 1833515/1048576 1853975/1048576 807153/1048576
cell 1853975/1048576 937361/524288 -867079/1048576
cell 937361/524288 1895757/1048576 1
cell 1895757/1048576 1917081/1048576 -226381/1048576
cell 1917081/1048576 1938695/1048576 -124395/131072
cell 1938695/1048576 980299/524288 1
cell 980299/524288 1982793/1048576 377169/524288
cell 1982793/1048576 1002639/524288 -522853/1048576
cell 1002639/524288 253507/131072 1
cell 253507/131072 2051127/1048576 -112695/131072
cell 2051127/1048576 1037245/524288 295503/1048576
cell 1037245/524288 524537/262144 283217/524288
cell 524537/262144 530525/262144 -733051/1048576
cell 530525/262144 2146347/1048576 1
cell 2146347/1048576 1085445/524288 -510777/524288
cell 1085445/524288 2195729/1048576 1
cell 2195729/1048576 2220865/1048576 -646925/1048576
cell 2220865/1048576 2246299/1048576 759303/1048576
cell 2246299/1048576 1136015/524288 -422399/1048576
cell 1136015/524288 574515/262144 20757/262144
cell 574515/262144 1162195/524288 -167867/1048576
cell 1162195/524288 2351019/1048576 -175983/1048576
cell 2351019/1048576 594487/262144 260707/524288
cell 594487/262144 2405179/1048576 -102255/262144
cell 2405179/1048576 2432711/1048576 417607/1048576
cell 2432711/1048576 19223/8192 -818901/1048576
cell 19223/8192 2488681/1048576 139093/1048576
cell 2488681/1048576 19665/8192 148999/262144
cell 19665/8192 2545863/1048576 -131229/262144
cell 2545863/1048576 1287455/524288 -654255/1048576
cell 1287455/524288 1302131/524288 265673/1048576
cell 1302131/524288 2633919/1048576 -206817/1048576
cell 2633919/1048576 1331941/524288 -96899/524288
cell 1331941/524288 2694151/1048576 -33577/262144
cell 2694151/1048576 2724727/1048576 -125135/524288
cell 2724727/1048576 1377805/524288 555995/1048576
cell 1377805/524288 2786801/1048576 -1266061/1048576
cell 2786801/1048576 704575/262144 -170393/524288
cell 704575/262144 2850109/1048576 -34285/131072
cell 2850109/1048576 1441113/524288 -275465/1048576
cell 1441113/524288 2914653/1048576 -58991/524288
cell 2914653/1048576 2947391/1048576 314271/524288
cell 2947391/1048576 2980439/1048576 -968003/1048576
cell 2980439/1048576 3013799/1048576 -226365/262144
cell 3013799/1048576 1523735/524288 -164109/131072
cell 1523735/524288 1540727/524288 119807/524288
cell 1540727/524288 1557875/524288 -492395/1048576
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 148337/1048576
cell 3364621/1048576 850359/262144 -321937/524288
cell 850359/262144 429821/131072 -147631/131072
cell 429821/131072 3476017/1048576 -136099/524288
cell 3476017/1048576 3513785/1048576 1
cell 3513785/1048576 1775935/524288 257327/1048576
cell 1775935/524288 1795137/524288 -121277/524288
cell 1795137/524288 1814499/524288 -60487/524288
cell 1814499/524288 3668041/1048576 -651073/1048576
cell 3668041/1048576 926851/262144 171761/1048576
cell 926851/262144 3747087/1048576 7595/65536
cell 3747087/1048576 3787091/1048576 -43055/262144
cell 3787091/1048576 3827417/1048576 121525/524288
cell 3827417/1048576 120877/32768 -226019/524288
cell 120877/32768 1954517/524288 49599/1048576
cell 1954517/524288 1975163/524288 -33559/1048576
cell 1975163/524288 3991941/1048576 -172093/524288
cell 3991941/1048576 504235/131072 -9655/262144
cell 504235/131072 2038071/524288 598121/1048576
cell 2038071/524288 4118729/1048576 -773777/1048576
cell 4118729/1048576 520205/131072 -771/131072
cell 520205/131072 4204877/1048576 103623/1048576
cell 4204877/1048576 4248439/1048576 -8691/65536
cell 4248439/1048576 2146163/524288 10387/262144
cell 2146163/524288 4336541/1048576 -95407/1048576
cell 4336541/1048576 4381081/1048576 -168583/1048576
cell 4381081/1048576 4425949/1048576 2673/1048576
cell 4425949/1048576 4471145/1048576 123361/1048576
cell 4471145/1048576 1129167/262144 -177317/1048576
cell 1129167/262144 570315/131072 -29955/1048576
cell 570315/131072 1152175/262144 235649/1048576
cell 1152175/262144 2327605/524288 -269137/524288
cell 2327605/524288 146939/32768 581007/1048576
cell 146939/32768 4749217/1048576 -95537/1048576
cell 4749217/1048576 1199179/262144 15331/1048576
cell 1199179/262144 2422273/524288 70649/1048576
cell 2422273/524288 2446353/524288 -352627/1048576
cell 2446353/524288 2470599/524288 424497/524288
cell 2470599/524288 2495011/524288 165433/1048576
cell 2495011/524288 2519589/524288 -7443/524288
cell 2519589/524288 2544333/524288 -328059/524288
cell 2544333/524288 5138487/1048576 246869/262144
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 -78425/1048576
cell 2619565/524288 165311/32768 -732427/524288
cell 165311/32768 5341109/1048576 185685/262144
cell 5341109/1048576 674075/131072 -119173/1048576
cell 674075/131072 2722213/524288 -1232105/1048576
cell 2722213/524288 1374147/262144 -249549/524288
cell 1374147/262144 5549085/1048576 569707/1048576
cell 5549085/1048576 5601919/1048576 734127/1048576
cell 5601919/1048576 5655089/1048576 -349599/524288
cell 5655089/1048576 1427149/262144 -168733/1048576
cell 1427149/262144 5762441/1048576 32151/524288
cell 5762441/1048576 2908311/524288 338253/1048576
cell 2908311/524288 2935571/524288 -44889/524288
cell 2935571/524288 370375/65536 -38891/524288
cell 370375/65536 5981197/1048576 -52923/1048576
cell 5981197/1048576 6036733/1048576 54959/524288
cell 6036733/1048576 95197/16384 64963/1048576
cell 95197/16384 6148823/1048576 178863/1048576
cell 6148823/1048576 6205377/1048576 -98593/262144
cell 6205377/1048576 12231/2048 384273/1048576
cell 12231/2048 1579877/262144 -24813/524288
cell 1579877/262144 6377085/1048576 19967/524288
cell 6377085/1048576 6435003/1048576 -11657/524288
cell 6435003/1048576 6493263/1048576 84887/1048576
cell 6493263/1048576 6551865/1048576 60461/1048576
cell 6551865/1048576 6610809/1048576 3577/1048576
cell 6610809/1048576 416881/65536 8683/524288
cell 416881/65536 3364863/524288 9345/1048576
cell 3364863/524288 6789699/1048576 181049/1048576
cell 6789699/1048576 214063/32768 -223017/1048576
cell 214063/32768 6910677/1048576 36009/524288
cell 6910677/1048576 3485841/524288 26637/1048576
cell 3485841/524288 879129/131072 136205/1048576
cell 879129/131072 7094727/1048576 -488119/1048576
cell 7094727/1048576 223649/32768 22013/1048576
cell 223649/32768 3609577/524288 91179/262144
cell 3609577/524288 7281885/1048576 -1919/4096
cell 7281885/1048576 1836241/262144 -101551/131072
cell 1836241/262144 1852097/262144 1
cell 1852097/262144 233505/32768 -401651/1048576
cell 233505/32768 7536279/1048576 -45869/524288
cell 7536279/1048576 7600745/1048576 742227/1048576
cell 7600745/1048576 7665559/1048576 1029/262144
cell 7665559/1048576 3865361/524288 -448949/1048576
cell 3865361/524288 974529/131072 187027/1048576
cell 974529/131072 1965523/262144 197085/1048576
cell 1965523/262144 7928301/1048576 -20873/262144
cell 7928301/1048576 7994859/1048576 -135747/1048576
cell 7994859/1048576 8061767/1048576 105819/1048576
cell 8061767/1048576 15877/2048 34459/524288
cell 15877/2048 1024579/131072 -19147/262144
cell 1024579/131072 8264591/1048576 -23345/262144
cell 8264591/1048576 8332901/1048576 19395/131072
cell 8332901/1048576 8401561/1048576 -44513/524288
cell 8401561/1048576 4235287/524288 -29339/1048576
cell 4235287/524288 4269969/524288 1/32768
cell 4269969/524288 4304827/524288 4971/1048576
cell 4304827/524288 4339861/524288 -48193/1048576
cell 4339861/524288 136721/16384 -47723/1048576
cell 136721/16384 4410459/524288 29289/524288
cell 4410459/524288 8892045/1048576 -128441/1048576
cell 8892045/1048576 4481763/524288 52423/1048576
cell 4481763/524288 9035361/1048576 29/16384
cell 9035361/1048576 9107551/1048576 -9259/131072
cell 9107551/1048576 4590047/524288 13547/1048576
cell 4590047/524288 72289/8192 5753/32768
cell 72289/8192 4663123/524288 -36261/262144
cell 4663123/524288 4699927/524288 64321/1048576
cell 4699927/524288 9473819/1048576 99797/262144
cell 9473819/1048576 9548139/1048576 -89687/262144
cell 9548139/1048576 9622815/1048576 5787/32768
cell 9622815/1048576 1212231/131072 -70367/1048576
cell 1212231/131072 9773237/1048576 -1777/8192
cell 9773237/1048576 1231123/131072 130931/1048576
cell 1231123/131072 310159/32768 21849/524288
cell 310159/32768 10001549/1048576 -28985/262144
cell 10001549/1048576 314949/32768 10689/1048576
cell 314949/32768 10155545/1048576 79593/1048576
cell 10155545/1048576 10233081/1048576 -45775/524288
cell 10233081/1048576 161109/16384 11081/1048576
cell 161109/16384 10389229/1048576 48555/1048576
cell 10389229/1048576 5233921/524288 -51009/1048576
cell 5233921/524288 5273407/524288 1021/262144
cell 5273407/524288 5313073/524288 12549/524288
cell 5313073/524288 5352919/524288 -6085/1048576
cell 5352919/524288 5392945/524288 -2241/262144
cell 5392945/524288 10866303/1048576 48357/1048576
cell 10866303/1048576 10947077/1048576 -29955/1048576
cell 10947077/1048576 2757053/262144 6075/131072
cell 2757053/262144 2777427/262144 -16403/1048576
cell 2777427/262144 5595783/524288 26319/1048576
cell 5595783/524288 5636893/524288 4101/262144
cell 5636893/524288 709773/65536 -5115/131072
cell 709773/65536 714957/65536 1047/131072
cell 714957/65536 2880655/262144 -4739/524288
cell 2880655/262144 5803145/524288 -43113/524288
cell 5803145/524288 11690323/1048576 49981/1048576
cell 11690323/1048576 11774721/1048576 -13561/524288
cell 11774721/1048576 11859481/1048576 25861/1048576
cell 11859481/1048576 5972303/524288 16635/524288
cell 5972303/524288 751881/65536 -8809/262144
cell 751881/65536 12115949/1048576 9015/1048576
cell 12115949/1048576 1525271/131072 5833/262144
cell 1525271/131072 12288751/1048576 -29861/1048576
cell 12288751/1048576 3093925/262144 3055/131072
cell 3093925/262144 12463015/1048576 -1293/524288
cell 12463015/1048576 12550695/1048576 -3859/524288
cell 12550695/1048576 6319371/524288 7475/524288
cell 6319371/524288 12727155/1048576 -2007/1048576
cell 12727155/1048576 6407967/524288 -6225/1048576
cell 6407967/524288 12905081/1048576 10323/1048576
cell 12905081/1048576 6497297/524288 -12821/1048576
cell 6497297/524288 13084475/1048576 3817/1048576
cell 13084475/1048576 13174723/1048576 -6481/1048576
cell 13174723/1048576 13265339/1048576 -889/524288
cell 13265339/1048576 3339081/262144 -10701/1048576
cell 3339081/262144 3361919/262144 2039/262144
cell 3361919/262144 6769699/524288 -649/262144
cell 6769699/524288 13 8467/1048576
