# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# float sup over x (not a proof): 1.114281621428
A = 69/2
T = 5
cell 4599753/1048576 4627715/1048576 61323/262144
cell 4627715/1048576 4655677/1048576 -6605/131072
cell 4655677/1048576 4683639/1048576 -24435/131072
cell 4683639/1048576 4711601/1048576 100761/524288
cell 4711601/1048576 1184891/262144 155031/1048576
cell 1184891/262144 2383763/524288 -306463/524288
cell 2383763/524288 149859/32768 25907/32768
cell 149859/32768 2411725/524288 -500913/1048576
cell 2411725/524288 1212853/262144 -69249/1048576
cell 1212853/262144 2439687/524288 134395/262144
cell 2439687/524288 613417/131072 -167939/524288
cell 613417/131072 2467649/524288 -216345/1048576
cell 2467649/524288 1240815/262144 419837/524288
cell 1240815/262144 2495611/524288 -679243/1048576
cell 2495611/524288 313699/65536 -521/1048576
cell 313699/65536 2523573/524288 1
cell 2523573/524288 1268777/262144 -1244107/1048576
cell 1268777/262144 2551535/524288 870303/1048576
cell 2551535/524288 641379/131072 122327/524288
cell 641379/131072 2579497/524288 -559217/1048576
cell 2579497/524288 1296739/262144 528887/1048576
cell 1296739/262144 2607459/524288 1
cell 2607459/524288 5 -1655313/1048576
