# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.107106425
# certified in ARB: C_+(21.5) <= 1.10716   (certificates/cplus_dual_cert.py)
A = 21.5
T = 13
cell 980299/524288 1982793/1048576 149207/1048576
cell 1982793/1048576 1002639/524288 58739/524288
cell 1002639/524288 253507/131072 714303/1048576
cell 253507/131072 2051127/1048576 -485181/524288
cell 2051127/1048576 1037245/524288 1
cell 1037245/524288 524537/262144 -93149/131072
cell 524537/262144 530525/262144 75503/131072
cell 530525/262144 2146347/1048576 -49021/524288
cell 2146347/1048576 1085445/524288 -219009/1048576
cell 1085445/524288 2195729/1048576 190741/262144
cell 2195729/1048576 2220865/1048576 -357203/524288
cell 2220865/1048576 2246299/1048576 1
cell 2246299/1048576 1136015/524288 -961119/1048576
cell 1136015/524288 574515/262144 187589/262144
cell 574515/262144 1162195/524288 -857057/1048576
cell 1162195/524288 2351019/1048576 322621/524288
cell 2351019/1048576 594487/262144 -427667/1048576
cell 594487/262144 2405179/1048576 161719/524288
cell 2405179/1048576 2432711/1048576 -75261/1048576
cell 2432711/1048576 19223/8192 -40543/131072
cell 19223/8192 2488681/1048576 -214261/1048576
cell 2488681/1048576 19665/8192 338701/524288
cell 19665/8192 2545863/1048576 -297513/524288
cell 2545863/1048576 1287455/524288 -411965/1048576
cell 1287455/524288 1302131/524288 30381/1048576
cell 1302131/524288 2633919/1048576 -62989/524288
cell 2633919/1048576 1331941/524288 -274945/1048576
cell 1331941/524288 2694151/1048576 -29681/1048576
cell 2694151/1048576 2724727/1048576 -203821/1048576
cell 2724727/1048576 1377805/524288 229351/524288
cell 1377805/524288 2786801/1048576 -1257391/1048576
cell 2786801/1048576 704575/262144 -99809/262144
cell 704575/262144 2850109/1048576 -15207/131072
cell 2850109/1048576 1441113/524288 -360279/1048576
cell 1441113/524288 2914653/1048576 -156417/1048576
cell 2914653/1048576 2947391/1048576 333619/524288
cell 2947391/1048576 2980439/1048576 -988379/1048576
cell 2980439/1048576 3013799/1048576 -211865/262144
cell 3013799/1048576 1523735/524288 -347785/262144
cell 1523735/524288 1540727/524288 250667/1048576
cell 1540727/524288 1557875/524288 -53385/131072
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 7299/65536
cell 3364621/1048576 850359/262144 -348727/524288
cell 850359/262144 429821/131072 -1154405/1048576
cell 429821/131072 3476017/1048576 -107471/524288
cell 3476017/1048576 3513785/1048576 1
cell 3513785/1048576 1775935/524288 103409/524288
cell 1775935/524288 1795137/524288 -9199/65536
cell 1795137/524288 1814499/524288 -276431/1048576
cell 1814499/524288 3668041/1048576 -300631/524288
cell 3668041/1048576 926851/262144 106895/524288
cell 926851/262144 3747087/1048576 168963/1048576
cell 3747087/1048576 3787091/1048576 -249689/1048576
cell 3787091/1048576 3827417/1048576 238013/1048576
cell 3827417/1048576 120877/32768 -204311/524288
cell 120877/32768 1954517/524288 36583/1048576
cell 1954517/524288 1975163/524288 -29035/262144
cell 1975163/524288 3991941/1048576 -52457/262144
cell 3991941/1048576 504235/131072 -49089/1048576
cell 504235/131072 2038071/524288 234371/524288
cell 2038071/524288 4118729/1048576 -317655/524288
cell 4118729/1048576 520205/131072 -37663/524288
cell 520205/131072 4204877/1048576 39471/524288
cell 4204877/1048576 4248439/1048576 -35551/524288
cell 4248439/1048576 2146163/524288 25279/1048576
cell 2146163/524288 4336541/1048576 -142411/1048576
cell 4336541/1048576 4381081/1048576 -133655/1048576
cell 4381081/1048576 4425949/1048576 17503/1048576
cell 4425949/1048576 4471145/1048576 59257/1048576
cell 4471145/1048576 1129167/262144 -3985/65536
cell 1129167/262144 570315/131072 -92711/1048576
cell 570315/131072 1152175/262144 178849/1048576
cell 1152175/262144 2327605/524288 -420607/1048576
cell 2327605/524288 146939/32768 466521/1048576
cell 146939/32768 4749217/1048576 -10167/524288
cell 4749217/1048576 1199179/262144 17633/524288
cell 1199179/262144 2422273/524288 -46879/1048576
cell 2422273/524288 2446353/524288 -122209/524288
cell 2446353/524288 2470599/524288 419635/524288
cell 2470599/524288 2495011/524288 107565/1048576
cell 2495011/524288 2519589/524288 34265/1048576
cell 2519589/524288 2544333/524288 -165337/262144
cell 2544333/524288 5138487/1048576 993539/1048576
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 -27351/262144
cell 2619565/524288 165311/32768 -1490707/1048576
cell 165311/32768 5341109/1048576 105013/131072
cell 5341109/1048576 674075/131072 -244401/1048576
cell 674075/131072 2722213/524288 -1175027/1048576
cell 2722213/524288 1374147/262144 -491361/1048576
cell 1374147/262144 5549085/1048576 605799/1048576
cell 5549085/1048576 5601919/1048576 88537/131072
cell 5601919/1048576 5655089/1048576 -742069/1048576
cell 5655089/1048576 1427149/262144 -37783/262144
cell 1427149/262144 5762441/1048576 1819/16384
cell 5762441/1048576 2908311/524288 318947/1048576
cell 2908311/524288 2935571/524288 -130065/1048576
cell 2935571/524288 370375/65536 -23183/524288
cell 370375/65536 5981197/1048576 -15041/262144
cell 5981197/1048576 6036733/1048576 62783/524288
cell 6036733/1048576 95197/16384 17109/262144
cell 95197/16384 6148823/1048576 60807/524288
cell 6148823/1048576 6205377/1048576 -334045/1048576
cell 6205377/1048576 12231/2048 348221/1048576
cell 12231/2048 1579877/262144 -5555/524288
cell 1579877/262144 6377085/1048576 1081/262144
cell 6377085/1048576 6435003/1048576 -10313/1048576
cell 6435003/1048576 6493263/1048576 47505/524288
cell 6493263/1048576 6551865/1048576 6603/131072
cell 6551865/1048576 6610809/1048576 741/262144
cell 6610809/1048576 416881/65536 -12117/1048576
cell 416881/65536 3364863/524288 29355/524288
cell 3364863/524288 6789699/1048576 147959/1048576
cell 6789699/1048576 214063/32768 -200833/1048576
cell 214063/32768 6910677/1048576 3991/131072
cell 6910677/1048576 3485841/524288 45273/524288
cell 3485841/524288 879129/131072 76267/1048576
cell 879129/131072 7094727/1048576 -115549/262144
cell 7094727/1048576 223649/32768 28923/1048576
cell 223649/32768 3609577/524288 346583/1048576
cell 3609577/524288 7281885/1048576 -507983/1048576
cell 7281885/1048576 1836241/262144 -385509/524288
cell 1836241/262144 1852097/262144 1
cell 1852097/262144 233505/32768 -444593/1048576
cell 233505/32768 7536279/1048576 -15243/524288
cell 7536279/1048576 7600745/1048576 715747/1048576
cell 7600745/1048576 7665559/1048576 -12955/1048576
cell 7665559/1048576 3865361/524288 -113845/262144
cell 3865361/524288 974529/131072 236965/1048576
cell 974529/131072 1965523/262144 19887/131072
cell 1965523/262144 7928301/1048576 -93551/1048576
cell 7928301/1048576 7994859/1048576 -29577/262144
cell 7994859/1048576 8061767/1048576 56013/524288
cell 8061767/1048576 15877/2048 52153/1048576
cell 15877/2048 1024579/131072 -80665/1048576
cell 1024579/131072 8264591/1048576 -8825/131072
cell 8264591/1048576 8332901/1048576 18867/131072
cell 8332901/1048576 8401561/1048576 -101399/1048576
cell 8401561/1048576 4235287/524288 -27361/1048576
cell 4235287/524288 4269969/524288 2105/262144
cell 4269969/524288 4304827/524288 -4177/1048576
cell 4304827/524288 4339861/524288 -25667/524288
cell 4339861/524288 136721/16384 -7957/262144
cell 136721/16384 4410459/524288 53071/1048576
cell 4410459/524288 8892045/1048576 -137541/1048576
cell 8892045/1048576 4481763/524288 30269/524288
cell 4481763/524288 9035361/1048576 1275/262144
cell 9035361/1048576 9107551/1048576 -43409/524288
cell 9107551/1048576 4590047/524288 445/16384
cell 4590047/524288 72289/8192 10985/65536
cell 72289/8192 4663123/524288 -148155/1048576
cell 4663123/524288 4699927/524288 44187/524288
cell 4699927/524288 9473819/1048576 92031/262144
cell 9473819/1048576 9548139/1048576 -345891/1048576
cell 9548139/1048576 9622815/1048576 189899/1048576
cell 9622815/1048576 1212231/131072 -90189/1048576
cell 1212231/131072 9773237/1048576 -26653/131072
cell 9773237/1048576 1231123/131072 34719/262144
cell 1231123/131072 310159/32768 2917/131072
cell 310159/32768 10001549/1048576 -106351/1048576
cell 10001549/1048576 314949/32768 11333/524288
cell 314949/32768 10155545/1048576 32561/524288
cell 10155545/1048576 10233081/1048576 -87121/1048576
cell 10233081/1048576 161109/16384 18919/1048576
cell 161109/16384 10389229/1048576 37245/1048576
cell 10389229/1048576 5233921/524288 -26263/524288
cell 5233921/524288 5273407/524288 3487/262144
cell 5273407/524288 5313073/524288 20319/1048576
cell 5313073/524288 5352919/524288 -7865/1048576
cell 5352919/524288 5392945/524288 -151/131072
cell 5392945/524288 10866303/1048576 9703/262144
cell 10866303/1048576 10947077/1048576 -13067/524288
cell 10947077/1048576 2757053/262144 25801/524288
cell 2757053/262144 2777427/262144 -20279/1048576
cell 2777427/262144 5595783/524288 26463/1048576
cell 5595783/524288 5636893/524288 4349/262144
cell 5636893/524288 709773/65536 -43127/1048576
cell 709773/65536 714957/65536 1531/131072
cell 714957/65536 2880655/262144 -16121/1048576
cell 2880655/262144 5803145/524288 -9949/131072
cell 5803145/524288 11690323/1048576 46939/1048576
cell 11690323/1048576 11774721/1048576 -13695/524288
cell 11774721/1048576 11859481/1048576 15375/524288
cell 11859481/1048576 5972303/524288 14047/524288
cell 5972303/524288 751881/65536 -32549/1048576
cell 751881/65536 12115949/1048576 11499/1048576
cell 12115949/1048576 1525271/131072 4127/262144
cell 1525271/131072 12288751/1048576 -12889/524288
cell 12288751/1048576 3093925/262144 5799/262144
cell 3093925/262144 12463015/1048576 -4103/1048576
cell 12463015/1048576 12550695/1048576 -3503/1048576
cell 12550695/1048576 6319371/524288 6469/524288
cell 6319371/524288 12727155/1048576 -1789/524288
cell 12727155/1048576 6407967/524288 -853/262144
cell 6407967/524288 12905081/1048576 3671/524288
cell 12905081/1048576 6497297/524288 -10125/1048576
cell 6497297/524288 13084475/1048576 245/131072
cell 13084475/1048576 13174723/1048576 -7075/1048576
cell 13174723/1048576 13265339/1048576 -819/1048576
cell 13265339/1048576 3339081/262144 -4939/524288
cell 3339081/262144 3361919/262144 7955/1048576
cell 3361919/262144 6769699/524288 -579/262144
cell 6769699/524288 13 1957/262144
