# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.139722249
# certified in ARB: C_+(8) <= 1.13976   (certificates/cplus_dual_cert.py)
A = 8
T = 7
cell 1 524299/524288 -7
cell 524299/524288 1048679/1048576 -7
cell 1048679/1048576 524413/524288 -7
cell 524413/524288 131131/131072 -7
cell 131131/131072 1049347/1048576 -7
cell 1049347/1048576 1049727/1048576 -7
cell 1049727/1048576 1050191/1048576 -7
cell 1050191/1048576 1050743/1048576 -7
cell 1050743/1048576 131423/131072 -7
cell 131423/131072 1052117/1048576 -7
cell 1052117/1048576 1052943/1048576 -7
cell 1052943/1048576 131733/131072 -7
cell 131733/131072 527441/524288 -7
cell 527441/524288 1055999/1048576 -7
cell 1055999/1048576 1057215/1048576 -7
cell 1057215/1048576 1058533/1048576 -7
cell 1058533/1048576 529977/524288 -7
cell 529977/524288 1061479/1048576 -7
cell 1061479/1048576 1063109/1048576 -7
cell 1063109/1048576 1064845/1048576 -7
cell 1064845/1048576 16667/16384 -7
cell 16667/16384 33395/32768 -7
cell 33395/32768 1070701/1048576 -7
cell 1070701/1048576 1072873/1048576 -7
cell 1072873/1048576 268789/262144 -7
cell 268789/262144 1077551/1048576 -7
cell 1077551/1048576 270015/262144 -7
cell 270015/262144 541341/524288 -7
cell 541341/524288 1085419/1048576 -7
cell 1085419/1048576 68017/65536 -7
cell 68017/65536 545621/524288 -7
cell 545621/524288 136791/131072 -7
cell 136791/131072 1097533/1048576 -7
cell 1097533/1048576 137607/131072 -7
cell 137607/131072 1104299/1048576 -7
cell 1104299/1048576 553931/524288 -7
cell 553931/524288 1111545/1048576 -7
cell 1111545/1048576 557675/524288 -7
cell 557675/524288 1119277/1048576 -7
cell 1119277/1048576 1123327/1048576 -7
cell 1123327/1048576 281875/262144 -7
cell 281875/262144 1131797/1048576 -7
cell 1131797/1048576 1136219/1048576 -7
cell 1136219/1048576 1140765/1048576 -7
cell 1140765/1048576 572719/524288 -7
cell 572719/524288 287559/262144 -7
cell 287559/262144 577581/524288 -736683/262144
cell 577581/524288 1160215/1048576 1
cell 1160215/1048576 291349/262144 1
cell 291349/262144 1170705/1048576 1
cell 1170705/1048576 1176143/1048576 1
cell 1176143/1048576 1181711/1048576 1
cell 1181711/1048576 1187409/1048576 1
cell 1187409/1048576 1193237/1048576 1
cell 1193237/1048576 299799/262144 1
cell 299799/262144 602643/524288 1
cell 602643/524288 1211509/1048576 1
cell 1211509/1048576 152233/131072 1
cell 152233/131072 38261/32768 1
cell 38261/32768 1230973/1048576 1
cell 1230973/1048576 38679/32768 1
cell 38679/32768 1244617/1048576 1
cell 1244617/1048576 156455/131072 1
cell 156455/131072 1258799/1048576 1
cell 1258799/1048576 1266093/1048576 1
cell 1266093/1048576 1273523/1048576 1
cell 1273523/1048576 640545/524288 1
cell 640545/524288 1288793/1048576 1
cell 1288793/1048576 648317/524288 1
cell 648317/524288 1304611/1048576 1
cell 1304611/1048576 1312727/1048576 1
cell 1312727/1048576 660491/524288 1
cell 660491/524288 664687/524288 1
cell 664687/524288 668953/524288 1
cell 668953/524288 673289/524288 1
cell 673289/524288 1355389/1048576 1
cell 1355389/1048576 1364341/1048576 -3809155/1048576
cell 1364341/1048576 1373433/1048576 -7
cell 1373433/1048576 691333/524288 -1785665/1048576
cell 691333/524288 1392041/1048576 1
cell 1392041/1048576 1401557/1048576 1
cell 1401557/1048576 1411215/1048576 1
cell 1411215/1048576 177627/131072 1
cell 177627/131072 1430959/1048576 1
cell 1430959/1048576 720523/524288 1
cell 720523/524288 1451275/1048576 1
cell 1451275/1048576 1461649/1048576 1
cell 1461649/1048576 1472167/1048576 1
cell 1472167/1048576 1482829/1048576 1
cell 1482829/1048576 1493635/1048576 1
cell 1493635/1048576 1504587/1048576 1
cell 1504587/1048576 378921/262144 1
cell 378921/262144 1526927/1048576 1
cell 1526927/1048576 384579/262144 1
cell 384579/262144 1549851/1048576 -533291/524288
cell 1549851/1048576 1561533/1048576 -7
cell 1561533/1048576 786681/524288 72075/524288
cell 786681/524288 792669/524288 1
cell 792669/524288 798731/524288 1
cell 798731/524288 1609733/1048576 1
cell 1609733/1048576 1622153/1048576 1
cell 1622153/1048576 1634721/1048576 1
cell 1634721/1048576 1647437/1048576 1
cell 1647437/1048576 1660303/1048576 1
cell 1660303/1048576 836659/524288 1
cell 836659/524288 1686483/1048576 1
cell 1686483/1048576 1699797/1048576 1
cell 1699797/1048576 856631/524288 206489/524288
cell 856631/524288 1726877/1048576 -7
cell 1726877/1048576 1740643/1048576 881725/1048576
cell 1740643/1048576 27415/16384 1
cell 27415/16384 442157/262144 1
cell 442157/262144 27857/16384 1
cell 27857/16384 449305/262144 1
cell 449305/262144 1811743/1048576 1
cell 1811743/1048576 1826419/1048576 1
cell 1826419/1048576 57539/32768 1
cell 57539/32768 1856229/1048576 -2301935/1048576
cell 1856229/1048576 467841/262144 -129863/65536
cell 467841/262144 1886651/1048576 1
cell 1886651/1048576 1902093/1048576 1
cell 1902093/1048576 1917689/1048576 1
cell 1917689/1048576 966719/524288 1
cell 966719/524288 974671/524288 1
cell 974671/524288 1965401/1048576 -822337/262144
cell 1965401/1048576 1981615/1048576 -492775/524288
cell 1981615/1048576 1997983/1048576 1
cell 1997983/1048576 503627/262144 1
cell 503627/262144 2031187/1048576 1
cell 2031187/1048576 2048023/1048576 1
cell 2048023/1048576 2065015/1048576 1
cell 2065015/1048576 2082163/1048576 -340977/1048576
cell 2082163/1048576 524867/262144 -1425617/524288
cell 524867/262144 2116929/1048576 -850825/1048576
cell 2116929/1048576 533637/262144 1
cell 533637/262144 538081/262144 1
cell 538081/262144 1085129/524288 1
cell 1085129/524288 2188349/1048576 1
cell 2188349/1048576 1103299/524288 -1393589/524288
cell 1103299/524288 1112503/524288 1
cell 1112503/524288 560893/262144 200891/1048576
cell 560893/262144 2262297/1048576 1
cell 2262297/1048576 570295/262144 62365/65536
cell 570295/262144 2300223/1048576 -1937427/524288
cell 2300223/1048576 2319425/1048576 1
cell 2319425/1048576 2338787/1048576 484399/1048576
cell 2338787/1048576 589577/262144 1
cell 589577/262144 1188995/524288 -222723/524288
cell 1188995/524288 2397831/1048576 1
cell 2397831/1048576 1208917/524288 -562665/524288
cell 1208917/524288 609499/262144 -421797/524288
cell 609499/262144 153645/65536 1
cell 153645/65536 2478805/1048576 -74979/262144
cell 2478805/1048576 2499451/1048576 1
cell 2499451/1048576 2520259/1048576 -1217291/524288
cell 2520259/1048576 635307/262144 1
cell 635307/262144 2562359/1048576 -282043/1048576
cell 2562359/1048576 645913/262144 1
cell 645913/262144 651277/262144 -866659/1048576
cell 651277/262144 1313363/524288 1
cell 1313363/524288 2648507/1048576 -1257197/524288
cell 2648507/1048576 2670451/1048576 1
cell 2670451/1048576 1346279/524288 -11785/524288
cell 1346279/524288 2714829/1048576 1
cell 2714829/1048576 2737263/1048576 -1311797/524288
cell 2737263/1048576 689965/262144 1
cell 689965/262144 1391311/524288 -289805/1048576
cell 1391311/524288 701387/262144 1
cell 701387/262144 1414319/524288 -1968925/1048576
cell 1414319/524288 2851893/1048576 1
cell 2851893/1048576 179707/65536 -1589171/1048576
cell 179707/65536 2898897/1048576 1
cell 2898897/1048576 1461323/524288 -1431123/1048576
cell 1461323/524288 2946561/1048576 1
cell 2946561/1048576 2970641/1048576 -1480995/1048576
cell 2970641/1048576 2994887/1048576 -6933/16384
cell 2994887/1048576 3019299/1048576 478467/524288
cell 3019299/1048576 3043877/1048576 1
cell 3043877/1048576 3068621/1048576 -3996719/1048576
cell 3068621/1048576 773383/262144 348573/1048576
cell 773383/262144 3118609/1048576 1
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 -2425775/1048576
cell 198079/65536 1597421/524288 -1103417/1048576
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 1
cell 51957/16384 3351833/1048576 1
cell 3351833/1048576 1689293/524288 1
cell 1689293/524288 851377/262144 1
cell 851377/262144 3432599/1048576 -278489/262144
cell 3432599/1048576 3459859/1048576 -1317117/524288
cell 3459859/1048576 435911/131072 1
