# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 400 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.107857792
# certified in ARB: C_+(28) <= 1.1079   (certificates/cplus_dual_cert.py)
A = 28
T = 7
cell 436027/262144 27415/16384 1
cell 27415/16384 1765097/1048576 1
cell 1765097/1048576 1775719/1048576 660721/1048576
cell 1775719/1048576 1786427/1048576 192021/1048576
cell 1786427/1048576 449305/262144 1
cell 449305/262144 904049/524288 -100833/1048576
cell 904049/524288 909531/524288 -135135/262144
cell 909531/524288 57191/32768 -904663/1048576
cell 57191/32768 57539/32768 1
cell 57539/32768 1852469/1048576 1
cell 1852469/1048576 1863777/1048576 12345/131072
cell 1863777/1048576 1875171/1048576 -351465/524288
cell 1875171/1048576 1886651/1048576 1
cell 1886651/1048576 949109/524288 -743855/1048576
cell 949109/524288 119367/65536 -144383/524288
cell 119367/65536 480403/262144 1
cell 480403/262144 966719/524288 1
cell 966719/524288 243169/131072 -888355/1048576
cell 243169/131072 244669/131072 1
cell 244669/131072 61545/32768 -621361/1048576
cell 61545/32768 1981615/1048576 -155825/1048576
cell 1981615/1048576 1993877/1048576 -221069/262144
cell 1993877/1048576 1003113/524288 930149/1048576
cell 1003113/524288 2018663/1048576 1
cell 2018663/1048576 2031187/1048576 1
cell 2031187/1048576 2043799/1048576 -302171/262144
cell 2043799/1048576 2056499/1048576 -243555/1048576
cell 2056499/1048576 2069287/1048576 12661/65536
cell 2069287/1048576 2082163/1048576 -596595/1048576
cell 2082163/1048576 2095127/1048576 650425/1048576
cell 2095127/1048576 2108179/1048576 255033/524288
cell 2108179/1048576 2121319/1048576 1
cell 2121319/1048576 533637/262144 -145715/524288
cell 533637/262144 2147865/1048576 -971845/524288
cell 2147865/1048576 2161271/1048576 1
cell 2161271/1048576 1087383/524288 1
cell 1087383/524288 2188349/1048576 -665399/524288
