# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.120039534
# certified in ARB: C_+(11) <= 1.12008   (certificates/cplus_dual_cert.py)
A = 11
T = 13
cell 1 1048621/1048576 -10
cell 1048621/1048576 1048781/1048576 -10
cell 1048781/1048576 1049077/1048576 -10
cell 1049077/1048576 1049519/1048576 -10
cell 1049519/1048576 1050117/1048576 -10
cell 1050117/1048576 525439/524288 -10
cell 525439/524288 1051807/1048576 -10
cell 1051807/1048576 526455/524288 -10
cell 526455/524288 65887/65536 -10
cell 65887/65536 1055657/1048576 -10
cell 1055657/1048576 1057309/1048576 -10
cell 1057309/1048576 66197/65536 -10
cell 66197/65536 265297/262144 -10
cell 265297/262144 531711/524288 -10
cell 531711/524288 1065855/1048576 -10
cell 1065855/1048576 1068491/1048576 -10
cell 1068491/1048576 267833/262144 -10
cell 267833/262144 537191/524288 -10
cell 537191/524288 1077641/1048576 -10
cell 1077641/1048576 1081113/1048576 -10
cell 1081113/1048576 8475/8192 -10
cell 8475/8192 17011/16384 -10
cell 17011/16384 546413/524288 -10
cell 546413/524288 548585/524288 -10
cell 548585/524288 137717/131072 -10
cell 137717/131072 553263/524288 -10
cell 553263/524288 1111543/1048576 -10
cell 1111543/1048576 279197/262144 -10
cell 279197/262144 1122263/1048576 -9809937/1048576
cell 1122263/1048576 1127969/1048576 1
cell 1127969/1048576 283477/262144 1
cell 283477/262144 1140081/1048576 1
cell 1140081/1048576 573245/524288 1
cell 573245/524288 1153137/1048576 1
cell 1153137/1048576 580011/524288 1
cell 580011/524288 1167147/1048576 1
cell 1167147/1048576 587257/524288 1
cell 587257/524288 295531/262144 1
cell 295531/262144 594989/524288 1
cell 594989/524288 599039/524288 1
cell 599039/524288 150803/131072 1
cell 150803/131072 607509/524288 1
cell 607509/524288 1223861/1048576 1
cell 1223861/1048576 1232955/1048576 -5343265/1048576
cell 1232955/1048576 1242299/1048576 1
cell 1242299/1048576 1251897/1048576 1
cell 1251897/1048576 315437/262144 1
cell 315437/262144 635927/524288 1
cell 635927/524288 1282215/1048576 1
cell 1282215/1048576 646417/524288 1
cell 646417/524288 651855/524288 1
cell 651855/524288 657423/524288 1
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 1
cell 1337897/1048576 168727/131072 1
cell 168727/131072 1361997/1048576 169681/1048576
cell 1361997/1048576 687221/524288 -746467/131072
cell 687221/524288 86697/65536 1
cell 86697/65536 1400127/1048576 1
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 1
cell 1440657/1048576 1454705/1048576 1
cell 1454705/1048576 734511/524288 -1028383/524288
cell 734511/524288 1483611/1048576 1
cell 1483611/1048576 1498471/1048576 -128609/1048576
cell 1498471/1048576 378401/262144 1
cell 378401/262144 764505/524288 1
cell 764505/524288 1544691/1048576 1
cell 1544691/1048576 1560647/1048576 -1807861/1048576
cell 1560647/1048576 1576879/1048576 1
cell 1576879/1048576 1593387/1048576 1
cell 1593387/1048576 1610173/1048576 1
cell 1610173/1048576 1627237/1048576 -55193/32768
cell 1627237/1048576 411145/262144 1
cell 411145/262144 1662203/1048576 -325093/524288
cell 1662203/1048576 840053/524288 1
cell 840053/524288 849145/524288 -233479/262144
cell 849145/524288 1716757/1048576 1
cell 1716757/1048576 867753/524288 1
cell 867753/524288 877269/524288 1
cell 877269/524288 1773855/1048576 -101801/65536
cell 1773855/1048576 112091/65536 1
cell 112091/65536 906671/524288 1
cell 906671/524288 1833515/1048576 -1766769/1048576
cell 1833515/1048576 1853975/1048576 1
cell 1853975/1048576 937361/524288 1
cell 937361/524288 1895757/1048576 -180125/262144
cell 1895757/1048576 1917081/1048576 -112001/262144
cell 1917081/1048576 1938695/1048576 1
cell 1938695/1048576 980299/524288 1
cell 980299/524288 1982793/1048576 -1637473/1048576
cell 1982793/1048576 1002639/524288 1
cell 1002639/524288 253507/131072 1
cell 253507/131072 2051127/1048576 -1729775/1048576
cell 2051127/1048576 1037245/524288 1
cell 1037245/524288 524537/262144 1
cell 524537/262144 530525/262144 -588199/524288
cell 530525/262144 2146347/1048576 33907/1048576
cell 2146347/1048576 1085445/524288 205607/1048576
cell 1085445/524288 2195729/1048576 1
cell 2195729/1048576 2220865/1048576 -736045/524288
cell 2220865/1048576 2246299/1048576 1
cell 2246299/1048576 1136015/524288 -35097/262144
cell 1136015/524288 574515/262144 1
cell 574515/262144 1162195/524288 -1862183/1048576
cell 1162195/524288 2351019/1048576 68255/131072
cell 2351019/1048576 594487/262144 1
cell 594487/262144 2405179/1048576 -255733/262144
cell 2405179/1048576 2432711/1048576 -54799/131072
cell 2432711/1048576 19223/8192 1
cell 19223/8192 2488681/1048576 -975691/1048576
cell 2488681/1048576 19665/8192 1
cell 19665/8192 2545863/1048576 -924055/1048576
cell 2545863/1048576 1287455/524288 -26687/65536
cell 1287455/524288 1302131/524288 1
cell 1302131/524288 2633919/1048576 -380407/262144
cell 2633919/1048576 1331941/524288 1
cell 1331941/524288 2694151/1048576 -226831/131072
cell 2694151/1048576 2724727/1048576 1
cell 2724727/1048576 1377805/524288 1
cell 1377805/524288 2786801/1048576 -1288679/524288
cell 2786801/1048576 704575/262144 35171/131072
cell 704575/262144 2850109/1048576 1
cell 2850109/1048576 1441113/524288 -1231583/1048576
cell 1441113/524288 2914653/1048576 -1650117/1048576
cell 2914653/1048576 2947391/1048576 1
cell 2947391/1048576 2980439/1048576 1
cell 2980439/1048576 3013799/1048576 -2487075/1048576
cell 3013799/1048576 1523735/524288 122879/1048576
cell 1523735/524288 1540727/524288 1
cell 1540727/524288 1557875/524288 -3790261/1048576
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 1
cell 3364621/1048576 850359/262144 1
cell 850359/262144 429821/131072 -1412673/524288
cell 429821/131072 3476017/1048576 1
cell 3476017/1048576 3513785/1048576 -317339/262144
cell 3513785/1048576 1775935/524288 942397/1048576
cell 1775935/524288 1795137/524288 1
cell 1795137/524288 1814499/524288 -525631/524288
cell 1814499/524288 3668041/1048576 -106357/262144
cell 3668041/1048576 926851/262144 989771/1048576
cell 926851/262144 3747087/1048576 -1747171/1048576
cell 3747087/1048576 3787091/1048576 1
cell 3787091/1048576 3827417/1048576 -17955/262144
cell 3827417/1048576 120877/32768 37425/131072
cell 120877/32768 1954517/524288 -802541/1048576
cell 1954517/524288 1975163/524288 -60733/1048576
cell 1975163/524288 3991941/1048576 -109523/1048576
cell 3991941/1048576 504235/131072 306969/524288
cell 504235/131072 2038071/524288 -701439/1048576
cell 2038071/524288 4118729/1048576 41755/262144
cell 4118729/1048576 520205/131072 -19409/524288
cell 520205/131072 4204877/1048576 -495707/1048576
cell 4204877/1048576 4248439/1048576 562149/1048576
cell 4248439/1048576 2146163/524288 -168239/262144
cell 2146163/524288 4336541/1048576 354623/1048576
cell 4336541/1048576 4381081/1048576 272031/1048576
cell 4381081/1048576 4425949/1048576 -571563/524288
cell 4425949/1048576 4471145/1048576 244671/262144
cell 4471145/1048576 1129167/262144 -177787/262144
cell 1129167/262144 570315/131072 122317/262144
cell 570315/131072 1152175/262144 -88999/1048576
cell 1152175/262144 2327605/524288 -159251/524288
cell 2327605/524288 146939/32768 41837/1048576
cell 146939/32768 4749217/1048576 387765/1048576
cell 4749217/1048576 1199179/262144 -508423/1048576
cell 1199179/262144 2422273/524288 989167/1048576
cell 2422273/524288 2446353/524288 -285673/262144
cell 2446353/524288 2470599/524288 121845/131072
cell 2470599/524288 2495011/524288 -260059/524288
cell 2495011/524288 2519589/524288 729077/1048576
cell 2519589/524288 2544333/524288 106167/524288
cell 2544333/524288 5138487/1048576 -139237/524288
cell 5138487/1048576 2594321/524288 39293/1048576
cell 2594321/524288 2619565/524288 677097/1048576
cell 2619565/524288 165311/32768 1
cell 165311/32768 5341109/1048576 -624563/1048576
cell 5341109/1048576 674075/131072 -1446703/1048576
cell 674075/131072 2722213/524288 1
cell 2722213/524288 1374147/262144 -522925/1048576
cell 1374147/262144 5549085/1048576 -228095/131072
cell 5549085/1048576 5601919/1048576 1
cell 5601919/1048576 5655089/1048576 720225/1048576
cell 5655089/1048576 1427149/262144 -31797/65536
cell 1427149/262144 5762441/1048576 -219289/524288
cell 5762441/1048576 2908311/524288 44981/262144
cell 2908311/524288 2935571/524288 296095/1048576
cell 2935571/524288 370375/65536 -1955/262144
cell 370375/65536 5981197/1048576 14841/524288
cell 5981197/1048576 6036733/1048576 -166807/262144
cell 6036733/1048576 95197/16384 494513/524288
cell 95197/16384 6148823/1048576 -56189/131072
cell 6148823/1048576 6205377/1048576 82905/1048576
cell 6205377/1048576 12231/2048 -133945/1048576
cell 12231/2048 1579877/262144 23361/65536
cell 1579877/262144 6377085/1048576 -269651/1048576
cell 6377085/1048576 6435003/1048576 330503/1048576
cell 6435003/1048576 6493263/1048576 -32569/131072
cell 6493263/1048576 6551865/1048576 3655/32768
cell 6551865/1048576 6610809/1048576 13271/65536
cell 6610809/1048576 416881/65536 -28361/524288
cell 416881/65536 3364863/524288 -102241/1048576
cell 3364863/524288 6789699/1048576 70067/1048576
cell 6789699/1048576 214063/32768 251459/1048576
cell 214063/32768 6910677/1048576 -235821/1048576
cell 6910677/1048576 3485841/524288 411/65536
cell 3485841/524288 879129/131072 76869/1048576
cell 879129/131072 7094727/1048576 -163/262144
cell 7094727/1048576 223649/32768 -12869/524288
cell 223649/32768 3609577/524288 -75809/262144
cell 3609577/524288 7281885/1048576 -14699/524288
cell 7281885/1048576 1836241/262144 133145/524288
cell 1836241/262144 1852097/262144 -71165/131072
cell 1852097/262144 233505/32768 -273439/524288
cell 233505/32768 7536279/1048576 1
cell 7536279/1048576 7600745/1048576 -13849/32768
cell 7600745/1048576 7665559/1048576 -3973/262144
cell 7665559/1048576 3865361/524288 1
