# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.115445065
# certified in ARB: C_+(23.5) <= 1.1155   (certificates/cplus_dual_cert.py)
A = 23.5
T = 7
cell 1 524299/524288 -45/2
cell 524299/524288 1048679/1048576 -45/2
cell 1048679/1048576 524413/524288 -45/2
cell 524413/524288 131131/131072 -45/2
cell 131131/131072 1049347/1048576 -45/2
cell 1049347/1048576 1049727/1048576 -45/2
cell 1049727/1048576 1050191/1048576 -45/2
cell 1050191/1048576 1050743/1048576 -45/2
cell 1050743/1048576 131423/131072 -45/2
cell 131423/131072 1052117/1048576 -45/2
cell 1052117/1048576 1052943/1048576 -45/2
cell 1052943/1048576 131733/131072 -45/2
cell 131733/131072 527441/524288 -45/2
cell 527441/524288 1055999/1048576 -45/2
cell 1055999/1048576 1057215/1048576 -45/2
cell 1057215/1048576 1058533/1048576 -45/2
cell 1058533/1048576 529977/524288 -45/2
cell 529977/524288 1061479/1048576 -45/2
cell 1061479/1048576 1063109/1048576 -45/2
cell 1063109/1048576 1064845/1048576 -45/2
cell 1064845/1048576 16667/16384 -45/2
cell 16667/16384 33395/32768 -45/2
cell 33395/32768 1070701/1048576 -45/2
cell 1070701/1048576 1072873/1048576 -45/2
cell 1072873/1048576 268789/262144 -45/2
cell 268789/262144 1077551/1048576 -45/2
cell 1077551/1048576 270015/262144 -9949445/1048576
cell 270015/262144 541341/524288 1
cell 541341/524288 1085419/1048576 1
cell 1085419/1048576 68017/65536 1
cell 68017/65536 545621/524288 1
cell 545621/524288 136791/131072 1
cell 136791/131072 1097533/1048576 1
cell 1097533/1048576 137607/131072 1
cell 137607/131072 1104299/1048576 1
cell 1104299/1048576 553931/524288 1
cell 553931/524288 1111545/1048576 1
cell 1111545/1048576 557675/524288 1
cell 557675/524288 1119277/1048576 1
cell 1119277/1048576 1123327/1048576 1
cell 1123327/1048576 281875/262144 1
cell 281875/262144 1131797/1048576 413825/524288
cell 1131797/1048576 1136219/1048576 -3695411/262144
cell 1136219/1048576 1140765/1048576 1
cell 1140765/1048576 572719/524288 1
cell 572719/524288 287559/262144 1
cell 287559/262144 577581/524288 1
cell 577581/524288 1160215/1048576 1
cell 1160215/1048576 291349/262144 1
cell 291349/262144 1170705/1048576 1
cell 1170705/1048576 1176143/1048576 -3933407/1048576
cell 1176143/1048576 1181711/1048576 1
cell 1181711/1048576 1187409/1048576 1
cell 1187409/1048576 1193237/1048576 1
cell 1193237/1048576 299799/262144 1
cell 299799/262144 602643/524288 1
cell 602643/524288 1211509/1048576 1
cell 1211509/1048576 152233/131072 1
cell 152233/131072 38261/32768 1
cell 38261/32768 1230973/1048576 1
cell 1230973/1048576 38679/32768 1
cell 38679/32768 1244617/1048576 750019/1048576
cell 1244617/1048576 156455/131072 -2850301/524288
cell 156455/131072 1258799/1048576 1
cell 1258799/1048576 1266093/1048576 1
cell 1266093/1048576 1273523/1048576 1
cell 1273523/1048576 640545/524288 1
cell 640545/524288 1288793/1048576 1
cell 1288793/1048576 648317/524288 1
cell 648317/524288 1304611/1048576 -24565/32768
cell 1304611/1048576 1312727/1048576 -1383787/1048576
cell 1312727/1048576 660491/524288 1
cell 660491/524288 664687/524288 1
cell 664687/524288 668953/524288 1
cell 668953/524288 673289/524288 1
cell 673289/524288 1355389/1048576 1
cell 1355389/1048576 1364341/1048576 -1889445/524288
cell 1364341/1048576 1373433/1048576 1
cell 1373433/1048576 691333/524288 1
cell 691333/524288 1392041/1048576 1
cell 1392041/1048576 1401557/1048576 1
cell 1401557/1048576 1411215/1048576 1
cell 1411215/1048576 177627/131072 -191479/131072
cell 177627/131072 1430959/1048576 -90389/262144
cell 1430959/1048576 720523/524288 1
cell 720523/524288 1451275/1048576 1
cell 1451275/1048576 1461649/1048576 1
cell 1461649/1048576 1472167/1048576 -106035/131072
cell 1472167/1048576 1482829/1048576 -357949/524288
cell 1482829/1048576 1493635/1048576 1
cell 1493635/1048576 1504587/1048576 1
cell 1504587/1048576 378921/262144 102197/262144
cell 378921/262144 1526927/1048576 -1526025/1048576
cell 1526927/1048576 384579/262144 1
cell 384579/262144 1549851/1048576 1
cell 1549851/1048576 1561533/1048576 1
cell 1561533/1048576 786681/524288 -250645/262144
cell 786681/524288 792669/524288 -202701/524288
cell 792669/524288 798731/524288 1
cell 798731/524288 1609733/1048576 1
cell 1609733/1048576 1622153/1048576 -962031/1048576
cell 1622153/1048576 1634721/1048576 72697/262144
cell 1634721/1048576 1647437/1048576 1
cell 1647437/1048576 1660303/1048576 196163/1048576
cell 1660303/1048576 836659/524288 57221/1048576
cell 836659/524288 1686483/1048576 1
cell 1686483/1048576 1699797/1048576 -369209/262144
cell 1699797/1048576 856631/524288 84743/262144
cell 856631/524288 1726877/1048576 1
cell 1726877/1048576 1740643/1048576 1
cell 1740643/1048576 27415/16384 -265391/524288
cell 27415/16384 442157/262144 -541213/1048576
cell 442157/262144 27857/16384 1
cell 27857/16384 449305/262144 897943/1048576
cell 449305/262144 1811743/1048576 -1320355/1048576
cell 1811743/1048576 1826419/1048576 1
cell 1826419/1048576 57539/32768 9929/262144
cell 57539/32768 1856229/1048576 -193063/524288
cell 1856229/1048576 467841/262144 1
cell 467841/262144 1886651/1048576 -932279/1048576
cell 1886651/1048576 1902093/1048576 1
cell 1902093/1048576 1917689/1048576 292563/524288
cell 1917689/1048576 966719/524288 -237955/1048576
cell 966719/524288 974671/524288 -1076631/1048576
cell 974671/524288 1965401/1048576 188335/262144
cell 1965401/1048576 1981615/1048576 1
cell 1981615/1048576 1997983/1048576 -176603/262144
cell 1997983/1048576 503627/262144 1
cell 503627/262144 2031187/1048576 -57911/65536
cell 2031187/1048576 2048023/1048576 1
cell 2048023/1048576 2065015/1048576 -628573/1048576
cell 2065015/1048576 2082163/1048576 224133/524288
cell 2082163/1048576 524867/262144 -22259/1048576
cell 524867/262144 2116929/1048576 -546089/1048576
cell 2116929/1048576 533637/262144 1
cell 533637/262144 538081/262144 -234505/524288
cell 538081/262144 1085129/524288 127397/1048576
cell 1085129/524288 2188349/1048576 1
cell 2188349/1048576 1103299/524288 -1763851/1048576
cell 1103299/524288 1112503/524288 1
cell 1112503/524288 560893/262144 725081/1048576
cell 560893/262144 2262297/1048576 -1359827/1048576
cell 2262297/1048576 570295/262144 1
cell 570295/262144 2300223/1048576 -916533/1048576
cell 2300223/1048576 2319425/1048576 311687/524288
cell 2319425/1048576 2338787/1048576 101873/262144
cell 2338787/1048576 589577/262144 -1240097/1048576
cell 589577/262144 1188995/524288 1
cell 1188995/524288 2397831/1048576 -903705/1048576
cell 2397831/1048576 1208917/524288 230407/1048576
cell 1208917/524288 609499/262144 1
cell 609499/262144 153645/65536 -1461385/1048576
cell 153645/65536 2478805/1048576 111683/262144
cell 2478805/1048576 2499451/1048576 314531/524288
cell 2499451/1048576 2520259/1048576 -804083/524288
cell 2520259/1048576 635307/262144 1
cell 635307/262144 2562359/1048576 -46097/65536
cell 2562359/1048576 645913/262144 464173/524288
cell 645913/262144 651277/262144 -625381/1048576
cell 651277/262144 1313363/524288 -878359/1048576
cell 1313363/524288 2648507/1048576 73601/131072
cell 2648507/1048576 2670451/1048576 -510655/524288
cell 2670451/1048576 1346279/524288 1
cell 1346279/524288 2714829/1048576 32785/262144
cell 2714829/1048576 2737263/1048576 -929707/524288
cell 2737263/1048576 689965/262144 469993/524288
cell 689965/262144 1391311/524288 -716233/524288
cell 1391311/524288 701387/262144 1
cell 701387/262144 1414319/524288 -527549/1048576
cell 1414319/524288 2851893/1048576 483499/1048576
cell 2851893/1048576 179707/65536 -702701/524288
cell 179707/65536 2898897/1048576 -1113299/1048576
cell 2898897/1048576 1461323/524288 1
cell 1461323/524288 2946561/1048576 -486507/1048576
cell 2946561/1048576 2970641/1048576 1
cell 2970641/1048576 2994887/1048576 -2510305/1048576
cell 2994887/1048576 3019299/1048576 -24195/524288
cell 3019299/1048576 3043877/1048576 -230477/524288
cell 3043877/1048576 3068621/1048576 -346259/524288
cell 3068621/1048576 773383/262144 1
cell 773383/262144 3118609/1048576 -1682113/1048576
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -9343/16384
cell 51957/16384 3351833/1048576 -251523/262144
cell 3351833/1048576 1689293/524288 90877/524288
cell 1689293/524288 851377/262144 1
cell 851377/262144 3432599/1048576 -309717/524288
cell 3432599/1048576 3459859/1048576 -270557/1048576
cell 3459859/1048576 435911/131072 100627/1048576
cell 435911/131072 3514887/1048576 48531/524288
cell 3514887/1048576 1771327/524288 -153887/524288
cell 1771327/524288 111581/32768 543463/1048576
cell 111581/32768 3598699/1048576 -858739/1048576
cell 3598699/1048576 3626977/1048576 279213/524288
cell 3626977/1048576 14279/4096 -230705/1048576
cell 14279/4096 1842021/524288 55631/1048576
cell 1842021/524288 1856415/524288 -15335/65536
cell 1856415/524288 3741789/1048576 32289/262144
cell 3741789/1048576 3770919/1048576 -196131/1048576
cell 3770919/1048576 950055/262144 -146835/1048576
cell 950055/262144 957423/262144 349325/1048576
cell 957423/262144 482417/131072 -55529/131072
cell 482417/131072 3889151/1048576 33689/1048576
cell 3889151/1048576 3919137/1048576 -50471/524288
cell 3919137/1048576 246831/65536 10939/524288
cell 246831/65536 1989813/524288 -25071/524288
cell 1989813/524288 4010129/1048576 139811/1048576
cell 4010129/1048576 1010201/262144 -76715/131072
cell 1010201/262144 1017913/262144 351785/524288
cell 1017913/262144 256417/65536 -435265/1048576
cell 256417/65536 4133865/1048576 -45063/524288
cell 4133865/1048576 4165231/1048576 -78285/1048576
cell 4165231/1048576 2098385/524288 1745/262144
cell 2098385/524288 2114241/524288 113807/1048576
cell 2114241/524288 266273/65536 3119/1048576
cell 266273/65536 4292427/1048576 -456659/1048576
cell 4292427/1048576 4324661/1048576 375143/1048576
cell 4324661/1048576 1089267/262144 -285011/1048576
cell 1089267/262144 4389649/1048576 69295/1048576
cell 4389649/1048576 1105601/262144 36499/1048576
cell 1105601/262144 2227667/524288 -30065/131072
cell 2227667/524288 2244219/524288 222993/1048576
cell 2244219/524288 4521717/1048576 60159/524288
cell 4521717/1048576 4555171/1048576 -217865/524288
cell 4555171/1048576 17925/4096 6593/32768
cell 17925/4096 1155651/262144 -91927/524288
cell 1155651/262144 4656583/1048576 13341/32768
cell 4656583/1048576 2345369/524288 -431737/1048576
cell 2345369/524288 4725069/1048576 -94423/524288
cell 4725069/1048576 4759575/1048576 687497/1048576
cell 4759575/1048576 4794257/1048576 -1419/32768
cell 4794257/1048576 4829115/1048576 -654487/1048576
cell 4829115/1048576 4864149/1048576 126507/262144
cell 4864149/1048576 153105/32768 502385/1048576
cell 153105/32768 4934747/1048576 -61717/262144
cell 4934747/1048576 4970311/1048576 -716913/1048576
cell 4970311/1048576 5006051/1048576 1
cell 5006051/1048576 5041969/1048576 330905/524288
cell 5041969/1048576 5078063/1048576 -201175/131072
cell 5078063/1048576 5114335/1048576 932611/1048576
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 -8833/262144
cell 5187411/1048576 5224215/1048576 -181389/262144
cell 5224215/1048576 5261197/1048576 214361/524288
cell 5261197/1048576 5298357/1048576 -60753/65536
