# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,11]; float sup on a 1e-4 grid (not a proof): 1.118901184
# certified in ARB: C_+(13) <= 1.11896   (certificates/cplus_dual_cert.py)
A = 13
T = 11
cell 1 1048613/1048576 -12
cell 1048613/1048576 1048747/1048576 -12
cell 1048747/1048576 1048993/1048576 -12
cell 1048993/1048576 524681/524288 -12
cell 524681/524288 262465/262144 -12
cell 262465/262144 525247/524288 -12
cell 525247/524288 262817/262144 -12
cell 262817/262144 263047/262144 -12
cell 263047/262144 131657/131072 -12
cell 131657/131072 1054477/1048576 -12
cell 1054477/1048576 527927/524288 -12
cell 527927/524288 1057389/1048576 -12
cell 1057389/1048576 529543/524288 -12
cell 529543/524288 1060947/1048576 -12
cell 1060947/1048576 1062975/1048576 -12
cell 1062975/1048576 266293/262144 -12
cell 266293/262144 266885/262144 -12
cell 266885/262144 1070081/1048576 -12
cell 1070081/1048576 1072797/1048576 -12
cell 1072797/1048576 537845/524288 -12
cell 537845/524288 1078763/1048576 -12
cell 1078763/1048576 33813/32768 -12
cell 33813/32768 1085451/1048576 -12
cell 1085451/1048576 1089071/1048576 -12
cell 1089071/1048576 273219/262144 -12
cell 273219/262144 274217/262144 -12
cell 274217/262144 1101049/1048576 -12
cell 1101049/1048576 276355/262144 -12
cell 276355/262144 554991/524288 -8592935/1048576
cell 554991/524288 1114737/1048576 1
cell 1114737/1048576 559843/524288 1
cell 559843/524288 562415/524288 1
cell 562415/524288 1130171/1048576 1
cell 1130171/1048576 567855/524288 1
cell 567855/524288 142681/131072 1
cell 142681/131072 1147385/1048576 1
cell 1147385/1048576 1153525/1048576 1
cell 1153525/1048576 579933/524288 1
cell 579933/524288 1166411/1048576 1
cell 1166411/1048576 1173161/1048576 1
cell 1173161/1048576 295029/262144 1
cell 295029/262144 593639/524288 1
cell 593639/524288 1194647/1048576 -661385/262144
cell 1194647/1048576 1202225/1048576 -4134311/1048576
cell 1202225/1048576 302503/262144 1
cell 302503/262144 609005/524288 1
cell 609005/524288 1226219/1048576 1
cell 1226219/1048576 1234641/1048576 1
cell 1234641/1048576 1243275/1048576 1
cell 1243275/1048576 313031/262144 1
cell 313031/262144 315297/262144 1
cell 315297/262144 1270467/1048576 1
cell 1270467/1048576 319991/262144 1
cell 319991/262144 1289677/1048576 1
cell 1289677/1048576 1299609/1048576 1
cell 1299609/1048576 20465/16384 1
cell 20465/16384 1320131/1048576 1
cell 1320131/1048576 1330723/1048576 1
cell 1330723/1048576 1341535/1048576 -195355/32768
cell 1341535/1048576 1352571/1048576 1
cell 1352571/1048576 1363829/1048576 1
cell 1363829/1048576 687655/524288 1
cell 687655/524288 1387017/1048576 1
cell 1387017/1048576 349737/262144 1
cell 349737/262144 1411105/1048576 -1820951/524288
cell 1411105/1048576 11121/8192 1
cell 11121/8192 1436099/1048576 1
cell 1436099/1048576 724469/524288 1
cell 724469/524288 1462005/1048576 1
cell 1462005/1048576 737651/524288 1
cell 737651/524288 372207/262144 1
cell 372207/262144 1502585/1048576 1
cell 1502585/1048576 1516573/1048576 -2641823/1048576
cell 1516573/1048576 1530793/1048576 -101623/262144
cell 1530793/1048576 772623/524288 1
cell 772623/524288 389983/262144 1
cell 389983/262144 1574851/1048576 1
cell 1574851/1048576 1590005/1048576 1
cell 1590005/1048576 1605393/1048576 -231961/262144
cell 1605393/1048576 810509/524288 -537567/262144
cell 810509/524288 818439/524288 1
cell 818439/524288 1652975/1048576 1
cell 1652975/1048576 1669309/1048576 1
cell 1669309/1048576 1685881/1048576 1
cell 1685881/1048576 425673/262144 -1683001/1048576
cell 425673/262144 859871/524288 1
cell 859871/524288 1737031/1048576 1
cell 1737031/1048576 27415/16384 1
cell 27415/16384 886165/524288 -2081857/1048576
cell 886165/524288 895171/524288 -171495/524288
cell 895171/524288 1808595/1048576 1
cell 1808595/1048576 913545/524288 1
cell 913545/524288 461457/262144 1
cell 461457/262144 932405/524288 -2086613/1048576
cell 932405/524288 1884035/1048576 1
cell 1884035/1048576 1903505/1048576 1
cell 1903505/1048576 1923219/1048576 -447147/524288
cell 1923219/1048576 1943179/1048576 12997/524288
cell 1943179/1048576 1963385/1048576 1
cell 1963385/1048576 991919/524288 1
cell 991919/524288 2004537/1048576 -479759/262144
cell 2004537/1048576 506371/262144 1
cell 506371/262144 1023339/524288 30131/1048576
cell 1023339/524288 2068121/1048576 -353853/524288
cell 2068121/1048576 2089813/1048576 1
cell 2089813/1048576 1055877/524288 1
cell 1055877/524288 2133945/1048576 -1289469/1048576
cell 2133945/1048576 1078193/524288 -376547/1048576
cell 1078193/524288 1089539/524288 1
cell 1089539/524288 2202021/1048576 1
cell 2202021/1048576 34769/16384 -2057139/1048576
cell 34769/16384 2248663/1048576 1
cell 2248663/1048576 2272363/1048576 23059/1048576
cell 2272363/1048576 2296315/1048576 -788457/1048576
cell 2296315/1048576 2320521/1048576 1
cell 2320521/1048576 2344981/1048576 716323/1048576
cell 2344981/1048576 2369695/1048576 -1945559/1048576
cell 2369695/1048576 299333/131072 1
cell 299333/131072 2419889/1048576 438991/1048576
cell 2419889/1048576 305671/131072 -12337/8192
cell 305671/131072 38611/16384 1
cell 38611/16384 2497097/1048576 77171/262144
cell 2497097/1048576 1261673/524288 -1805825/1048576
cell 1261673/524288 2549853/1048576 1
cell 2549853/1048576 1288309/524288 1
cell 1288309/524288 325455/131072 -1518715/1048576
cell 325455/131072 1315461/524288 -13279/32768
cell 1315461/524288 1329231/524288 1
cell 1329231/524288 1343131/524288 -1840505/1048576
cell 1343131/524288 2714321/1048576 396947/1048576
cell 2714321/1048576 2742641/1048576 1
cell 2742641/1048576 2771221/1048576 -1559375/1048576
cell 2771221/1048576 1400031/524288 1
cell 1400031/524288 2829165/1048576 -1963517/1048576
cell 2829165/1048576 1429265/524288 1
cell 1429265/524288 722039/262144 -112739/262144
cell 722039/262144 1459023/524288 -2071111/1048576
cell 1459023/524288 1474099/524288 1
cell 1474099/524288 2978613/1048576 1
cell 2978613/1048576 3009293/1048576 -1087571/524288
cell 3009293/1048576 760059/262144 -14543/1048576
cell 760059/262144 767861/262144 1
cell 767861/262144 3102917/1048576 -3871269/1048576
cell 3102917/1048576 1567327/524288 26671/32768
cell 1567327/524288 1583329/524288 1
cell 1583329/524288 3198927/1048576 1
cell 3198927/1048576 3231463/1048576 1
cell 3231463/1048576 1632133/524288 1
cell 1632133/524288 3297335/1048576 1
cell 3297335/1048576 208167/65536 1
cell 208167/65536 3364277/1048576 1
cell 3364277/1048576 1699075/524288 -462051/524288
cell 1699075/524288 3432291/1048576 -850931/1048576
cell 3432291/1048576 3466701/1048576 -400197/524288
cell 3466701/1048576 875345/262144 400583/1048576
cell 875345/262144 3536329/1048576 1
cell 3536329/1048576 892887/262144 547001/1048576
cell 892887/262144 3607037/1048576 -340479/262144
cell 3607037/1048576 910699/262144 -82349/524288
cell 910699/262144 3678827/1048576 308663/1048576
cell 3678827/1048576 464391/131072 -74617/524288
cell 464391/131072 3751701/1048576 -60189/524288
cell 3751701/1048576 1894273/524288 111497/262144
cell 1894273/524288 467/128 -86695/524288
cell 467/128 1931527/524288 -592041/1048576
cell 1931527/524288 3900717/1048576 -85005/262144
cell 3900717/1048576 3938653/1048576 1
cell 3938653/1048576 3976863/1048576 -745771/1048576
cell 3976863/1048576 2007673/524288 -164893/1048576
cell 2007673/524288 506763/131072 134389/524288
cell 506763/131072 255821/65536 -143891/1048576
cell 255821/65536 1033111/262144 -233025/524288
cell 1033111/262144 2086013/524288 49243/262144
cell 2086013/524288 1052971/262144 106259/262144
cell 1052971/262144 2126009/524288 -960201/1048576
cell 2126009/524288 1073107/262144 702197/1048576
cell 1073107/262144 2166557/524288 -543353/1048576
