# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.108394740
# certified in ARB: C_+(33.5) <= 1.10842   (certificates/cplus_dual_cert.py)
A = 33.5
T = 7
cell 4292427/1048576 4324661/1048576 351677/1048576
cell 4324661/1048576 1089267/262144 -156743/524288
cell 1089267/262144 4389649/1048576 -145117/1048576
cell 4389649/1048576 1105601/262144 11963/65536
cell 1105601/262144 2227667/524288 79835/1048576
cell 2227667/524288 2244219/524288 -28317/65536
cell 2244219/524288 4521717/1048576 96887/524288
cell 4521717/1048576 4555171/1048576 111259/262144
cell 4555171/1048576 17925/4096 -312837/524288
cell 17925/4096 1155651/262144 244051/1048576
cell 1155651/262144 4656583/1048576 15405/524288
cell 4656583/1048576 2345369/524288 9189/65536
cell 2345369/524288 4725069/1048576 -398349/1048576
cell 4725069/1048576 4759575/1048576 303145/1048576
cell 4759575/1048576 4794257/1048576 153955/1048576
cell 4794257/1048576 4829115/1048576 -85469/1048576
cell 4829115/1048576 4864149/1048576 -51225/131072
cell 4864149/1048576 153105/32768 113833/131072
cell 153105/32768 4934747/1048576 -135217/524288
cell 4934747/1048576 4970311/1048576 -127991/524288
cell 4970311/1048576 5006051/1048576 34099/262144
cell 5006051/1048576 5041969/1048576 1
cell 5041969/1048576 5078063/1048576 -994217/1048576
cell 5078063/1048576 5114335/1048576 134001/524288
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 94539/524288
cell 5187411/1048576 5224215/1048576 -45015/131072
cell 5224215/1048576 5261197/1048576 -184543/262144
cell 5261197/1048576 5298357/1048576 149437/1048576
cell 5298357/1048576 333481/65536 60815/524288
cell 333481/65536 1343303/262144 -189629/524288
cell 1343303/262144 5410907/1048576 -867525/1048576
cell 5410907/1048576 1362195/262144 54509/65536
cell 1362195/262144 342927/65536 -412187/1048576
cell 342927/65536 2762531/524288 -52883/524288
cell 2762531/524288 347717/65536 256901/1048576
cell 347717/65536 5602061/1048576 -2385/262144
cell 5602061/1048576 5640829/1048576 -54579/262144
cell 5640829/1048576 177493/32768 321565/1048576
cell 177493/32768 5718903/1048576 -113589/524288
cell 5718903/1048576 5758209/1048576 2251/32768
cell 5758209/1048576 5797695/1048576 35925/1048576
cell 5797695/1048576 5837361/1048576 52551/1048576
cell 5837361/1048576 5877207/1048576 -108081/524288
cell 5877207/1048576 5917233/1048576 314669/1048576
cell 5917233/1048576 5957439/1048576 -279881/1048576
cell 5957439/1048576 2998913/524288 18341/131072
cell 2998913/524288 3019197/524288 13829/262144
cell 3019197/524288 3039571/524288 -89553/524288
cell 3039571/524288 6120071/1048576 167267/1048576
cell 6120071/1048576 6161181/1048576 10407/1048576
cell 6161181/1048576 775309/131072 -58797/524288
cell 775309/131072 780493/131072 142055/1048576
cell 780493/131072 3142799/524288 -37091/1048576
cell 3142799/524288 6327433/1048576 -9619/1048576
cell 6327433/1048576 3184725/524288 26475/524288
cell 3184725/524288 50091/8192 19269/524288
cell 50091/8192 6454029/1048576 -57411/524288
cell 6454029/1048576 6496591/1048576 125823/1048576
cell 6496591/1048576 817417/131072 -11/16384
cell 817417/131072 6582263/1048576 -10393/131072
cell 6582263/1048576 1656343/262144 101279/524288
cell 1656343/262144 833583/131072 -196657/1048576
cell 833583/131072 3356069/524288 84123/1048576
cell 3356069/524288 1688949/262144 813/16384
cell 1688949/262144 1699909/262144 -104871/1048576
cell 1699909/262144 6843659/1048576 102095/1048576
cell 6843659/1048576 6887865/1048576 32721/1048576
cell 6887865/1048576 6932255/1048576 -174061/1048576
cell 6932255/1048576 1744207/262144 258911/1048576
cell 1744207/262144 7021585/1048576 -220305/1048576
cell 7021585/1048576 7066525/1048576 -45539/1048576
cell 7066525/1048576 3555825/524288 156427/524288
cell 3555825/524288 3578479/524288 -514045/1048576
cell 3578479/524288 3601225/524288 326155/1048576
cell 3601225/524288 3624063/524288 -1909/32768
cell 3624063/524288 7293987/1048576 -614451/1048576
cell 7293987/1048576 7 146431/262144
