# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.105990772
# certified in ARB: C_+(20.5) <= 1.10604   (certificates/cplus_dual_cert.py)
A = 20.5
T = 13
cell 1 1048621/1048576 -39/2
cell 1048621/1048576 1048781/1048576 -39/2
cell 1048781/1048576 1049077/1048576 -39/2
cell 1049077/1048576 1049519/1048576 -39/2
cell 1049519/1048576 1050117/1048576 -39/2
cell 1050117/1048576 525439/524288 -39/2
cell 525439/524288 1051807/1048576 -39/2
cell 1051807/1048576 526455/524288 -39/2
cell 526455/524288 65887/65536 -39/2
cell 65887/65536 1055657/1048576 -39/2
cell 1055657/1048576 1057309/1048576 -39/2
cell 1057309/1048576 66197/65536 -39/2
cell 66197/65536 265297/262144 -39/2
cell 265297/262144 531711/524288 -39/2
cell 531711/524288 1065855/1048576 -39/2
cell 1065855/1048576 1068491/1048576 -39/2
cell 1068491/1048576 267833/262144 -39/2
cell 267833/262144 537191/524288 -39/2
cell 537191/524288 1077641/1048576 -39/2
cell 1077641/1048576 1081113/1048576 -39/2
cell 1081113/1048576 8475/8192 -15354095/1048576
cell 8475/8192 17011/16384 1
cell 17011/16384 546413/524288 1
cell 546413/524288 548585/524288 1
cell 548585/524288 137717/131072 1
cell 137717/131072 553263/524288 1
cell 553263/524288 1111543/1048576 1
cell 1111543/1048576 279197/262144 1
cell 279197/262144 1122263/1048576 1
cell 1122263/1048576 1127969/1048576 1
cell 1127969/1048576 283477/262144 1
cell 283477/262144 1140081/1048576 -126947/65536
cell 1140081/1048576 573245/524288 -7532061/1048576
cell 573245/524288 1153137/1048576 1
cell 1153137/1048576 580011/524288 1
cell 580011/524288 1167147/1048576 1
cell 1167147/1048576 587257/524288 1
cell 587257/524288 295531/262144 1
cell 295531/262144 594989/524288 1
cell 594989/524288 599039/524288 -1596357/1048576
cell 599039/524288 150803/131072 -2758737/1048576
cell 150803/131072 607509/524288 1
cell 607509/524288 1223861/1048576 1
cell 1223861/1048576 1232955/1048576 69901/524288
cell 1232955/1048576 1242299/1048576 1
cell 1242299/1048576 1251897/1048576 1
cell 1251897/1048576 315437/262144 1
cell 315437/262144 635927/524288 1
cell 635927/524288 1282215/1048576 1
cell 1282215/1048576 646417/524288 1
cell 646417/524288 651855/524288 1
cell 651855/524288 657423/524288 1
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 -311359/1048576
cell 1337897/1048576 168727/131072 -2385801/1048576
cell 168727/131072 1361997/1048576 1
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 123527/524288
cell 86697/65536 1400127/1048576 -2677235/1048576
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 1
cell 1440657/1048576 1454705/1048576 79999/131072
cell 1454705/1048576 734511/524288 -308481/262144
cell 734511/524288 1483611/1048576 1
cell 1483611/1048576 1498471/1048576 1
cell 1498471/1048576 378401/262144 1
cell 378401/262144 764505/524288 -313553/524288
cell 764505/524288 1544691/1048576 1
cell 1544691/1048576 1560647/1048576 1
cell 1560647/1048576 1576879/1048576 -1992709/1048576
cell 1576879/1048576 1593387/1048576 1
cell 1593387/1048576 1610173/1048576 373487/1048576
cell 1610173/1048576 1627237/1048576 -92159/524288
cell 1627237/1048576 411145/262144 1
cell 411145/262144 1662203/1048576 1
cell 1662203/1048576 840053/524288 -1953841/1048576
cell 840053/524288 849145/524288 1
cell 849145/524288 1716757/1048576 181325/1048576
cell 1716757/1048576 867753/524288 1
cell 867753/524288 877269/524288 76823/131072
cell 877269/524288 1773855/1048576 -1178213/1048576
cell 1773855/1048576 112091/65536 1
cell 112091/65536 906671/524288 -212191/1048576
cell 906671/524288 1833515/1048576 218855/1048576
cell 1833515/1048576 1853975/1048576 1
cell 1853975/1048576 937361/524288 -221823/1048576
cell 937361/524288 1895757/1048576 -142569/524288
cell 1895757/1048576 1917081/1048576 1
cell 1917081/1048576 1938695/1048576 -403311/262144
cell 1938695/1048576 980299/524288 1
cell 980299/524288 1982793/1048576 1
cell 1982793/1048576 1002639/524288 -382317/524288
cell 1002639/524288 253507/131072 438717/524288
cell 253507/131072 2051127/1048576 -172913/524288
cell 2051127/1048576 1037245/524288 -153735/524288
cell 1037245/524288 524537/262144 1
cell 524537/262144 530525/262144 -1022563/1048576
cell 530525/262144 2146347/1048576 1
cell 2146347/1048576 1085445/524288 -737007/1048576
cell 1085445/524288 2195729/1048576 265161/524288
cell 2195729/1048576 2220865/1048576 63301/524288
cell 2220865/1048576 2246299/1048576 -53803/262144
cell 2246299/1048576 1136015/524288 575453/1048576
cell 1136015/524288 574515/262144 -396045/524288
cell 574515/262144 1162195/524288 529203/1048576
cell 1162195/524288 2351019/1048576 -743273/1048576
cell 2351019/1048576 594487/262144 1
cell 594487/262144 2405179/1048576 -869061/1048576
cell 2405179/1048576 2432711/1048576 433051/524288
cell 2432711/1048576 19223/8192 -1268393/1048576
cell 19223/8192 2488681/1048576 225535/524288
cell 2488681/1048576 19665/8192 427405/1048576
cell 19665/8192 2545863/1048576 -386263/1048576
cell 2545863/1048576 1287455/524288 -459297/524288
cell 1287455/524288 1302131/524288 639399/1048576
cell 1302131/524288 2633919/1048576 -369109/1048576
cell 2633919/1048576 1331941/524288 -258889/1048576
cell 1331941/524288 2694151/1048576 -80871/524288
cell 2694151/1048576 2724727/1048576 -63339/524288
cell 2724727/1048576 1377805/524288 455107/1048576
cell 1377805/524288 2786801/1048576 -1196351/1048576
cell 2786801/1048576 704575/262144 -242585/1048576
cell 704575/262144 2850109/1048576 -7895/16384
cell 2850109/1048576 1441113/524288 -181593/1048576
cell 1441113/524288 2914653/1048576 -23071/1048576
cell 2914653/1048576 2947391/1048576 234217/524288
cell 2947391/1048576 2980439/1048576 -809671/1048576
cell 2980439/1048576 3013799/1048576 -1046227/1048576
cell 3013799/1048576 1523735/524288 -1129195/1048576
cell 1523735/524288 1540727/524288 40513/524288
cell 1540727/524288 1557875/524288 -483759/1048576
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 171449/1048576
cell 3364621/1048576 850359/262144 -309137/524288
cell 850359/262144 429821/131072 -1145725/1048576
cell 429821/131072 3476017/1048576 -181143/524288
cell 3476017/1048576 3513785/1048576 1
cell 3513785/1048576 1775935/524288 84437/262144
cell 1775935/524288 1795137/524288 -395613/1048576
cell 1795137/524288 1814499/524288 144027/1048576
cell 1814499/524288 3668041/1048576 -452147/524288
cell 3668041/1048576 926851/262144 137527/524288
cell 926851/262144 3747087/1048576 119893/524288
cell 3747087/1048576 3787091/1048576 -509797/1048576
cell 3787091/1048576 3827417/1048576 281947/524288
cell 3827417/1048576 120877/32768 -531763/1048576
cell 120877/32768 1954517/524288 -5213/524288
cell 1954517/524288 1975163/524288 -6755/524288
cell 1975163/524288 3991941/1048576 -172717/524288
cell 3991941/1048576 504235/131072 6359/524288
cell 504235/131072 2038071/524288 62861/131072
cell 2038071/524288 4118729/1048576 -695109/1048576
cell 4118729/1048576 520205/131072 -3537/524288
cell 520205/131072 4204877/1048576 7209/131072
cell 4204877/1048576 4248439/1048576 -104621/1048576
cell 4248439/1048576 2146163/524288 1173/32768
cell 2146163/524288 4336541/1048576 -110977/1048576
cell 4336541/1048576 4381081/1048576 -165649/1048576
cell 4381081/1048576 4425949/1048576 25009/1048576
cell 4425949/1048576 4471145/1048576 108033/1048576
cell 4471145/1048576 1129167/262144 -197415/1048576
cell 1129167/262144 570315/131072 -40239/1048576
cell 570315/131072 1152175/262144 9217/32768
cell 1152175/262144 2327605/524288 -593315/1048576
cell 2327605/524288 146939/32768 80571/131072
cell 146939/32768 4749217/1048576 -212813/1048576
cell 4749217/1048576 1199179/262144 118231/1048576
cell 1199179/262144 2422273/524288 78703/1048576
cell 2422273/524288 2446353/524288 -400691/1048576
cell 2446353/524288 2470599/524288 803841/1048576
cell 2470599/524288 2495011/524288 271767/1048576
cell 2495011/524288 2519589/524288 -71641/1048576
cell 2519589/524288 2544333/524288 -633519/1048576
cell 2544333/524288 5138487/1048576 58435/65536
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 1523/131072
cell 2619565/524288 165311/32768 -1492305/1048576
cell 165311/32768 5341109/1048576 164735/262144
cell 5341109/1048576 674075/131072 1445/1048576
cell 674075/131072 2722213/524288 -317881/262144
cell 2722213/524288 1374147/262144 -515523/1048576
cell 1374147/262144 5549085/1048576 531525/1048576
cell 5549085/1048576 5601919/1048576 95071/131072
cell 5601919/1048576 5655089/1048576 -328937/524288
cell 5655089/1048576 1427149/262144 -24135/131072
cell 1427149/262144 5762441/1048576 6415/1048576
cell 5762441/1048576 2908311/524288 52211/131072
cell 2908311/524288 2935571/524288 -41351/262144
cell 2935571/524288 370375/65536 16451/524288
cell 370375/65536 5981197/1048576 -184417/1048576
cell 5981197/1048576 6036733/1048576 192681/1048576
cell 6036733/1048576 95197/16384 15303/262144
