# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.107694543
# certified in ARB: C_+(20) <= 1.10774   (certificates/cplus_dual_cert.py)
A = 20
T = 13
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 22125/131072
cell 3364621/1048576 850359/262144 -558885/1048576
cell 850359/262144 429821/131072 -1157605/1048576
cell 429821/131072 3476017/1048576 -207179/524288
cell 3476017/1048576 3513785/1048576 1
cell 3513785/1048576 1775935/524288 93397/262144
cell 1775935/524288 1795137/524288 -98569/262144
cell 1795137/524288 1814499/524288 164457/1048576
cell 1814499/524288 3668041/1048576 -1003829/1048576
cell 3668041/1048576 926851/262144 365009/1048576
cell 926851/262144 3747087/1048576 380841/1048576
cell 3747087/1048576 3787091/1048576 -432505/524288
cell 3787091/1048576 3827417/1048576 402295/524288
cell 3827417/1048576 120877/32768 -253761/524288
cell 120877/32768 1954517/524288 -105295/1048576
cell 1954517/524288 1975163/524288 -19933/524288
cell 1975163/524288 3991941/1048576 -13875/65536
cell 3991941/1048576 504235/131072 -7189/1048576
cell 504235/131072 2038071/524288 293469/1048576
cell 2038071/524288 4118729/1048576 -448935/1048576
cell 4118729/1048576 520205/131072 -89185/1048576
cell 520205/131072 4204877/1048576 36763/1048576
cell 4204877/1048576 4248439/1048576 -75715/1048576
cell 4248439/1048576 2146163/524288 -6757/524288
cell 2146163/524288 4336541/1048576 -74247/1048576
cell 4336541/1048576 4381081/1048576 -39973/262144
cell 4381081/1048576 4425949/1048576 -249/32768
cell 4425949/1048576 4471145/1048576 36727/262144
cell 4471145/1048576 1129167/262144 -180967/1048576
cell 1129167/262144 570315/131072 -13333/131072
cell 570315/131072 1152175/262144 270607/1048576
cell 1152175/262144 2327605/524288 -227535/524288
cell 2327605/524288 146939/32768 283017/524288
cell 146939/32768 4749217/1048576 -34649/131072
cell 4749217/1048576 1199179/262144 109569/524288
cell 1199179/262144 2422273/524288 32611/524288
cell 2422273/524288 2446353/524288 -119185/262144
cell 2446353/524288 2470599/524288 426075/524288
cell 2470599/524288 2495011/524288 76623/262144
cell 2495011/524288 2519589/524288 -51847/524288
cell 2519589/524288 2544333/524288 -640921/1048576
cell 2544333/524288 5138487/1048576 1775/2048
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 5881/65536
cell 2619565/524288 165311/32768 -373961/262144
cell 165311/32768 5341109/1048576 542599/1048576
cell 5341109/1048576 674075/131072 515/4096
cell 674075/131072 2722213/524288 -1301583/1048576
cell 2722213/524288 1374147/262144 -131985/262144
cell 1374147/262144 5549085/1048576 484251/1048576
cell 5549085/1048576 5601919/1048576 794669/1048576
cell 5601919/1048576 5655089/1048576 -158681/262144
cell 5655089/1048576 1427149/262144 -55773/262144
cell 1427149/262144 5762441/1048576 5461/1048576
cell 5762441/1048576 2908311/524288 446641/1048576
cell 2908311/524288 2935571/524288 -259463/1048576
cell 2935571/524288 370375/65536 174923/1048576
cell 370375/65536 5981197/1048576 -37853/131072
cell 5981197/1048576 6036733/1048576 125317/524288
cell 6036733/1048576 95197/16384 53697/1048576
cell 95197/16384 6148823/1048576 38181/524288
cell 6148823/1048576 6205377/1048576 -210651/1048576
cell 6205377/1048576 12231/2048 219907/1048576
cell 12231/2048 1579877/262144 30059/1048576
cell 1579877/262144 6377085/1048576 4733/524288
cell 6377085/1048576 6435003/1048576 1219/524288
cell 6435003/1048576 6493263/1048576 41735/524288
cell 6493263/1048576 6551865/1048576 32563/524288
cell 6551865/1048576 6610809/1048576 -48579/1048576
cell 6610809/1048576 416881/65536 43813/524288
cell 416881/65536 3364863/524288 9183/1048576
cell 3364863/524288 6789699/1048576 13901/131072
cell 6789699/1048576 214063/32768 -83097/524288
cell 214063/32768 6910677/1048576 21099/262144
cell 6910677/1048576 3485841/524288 -33633/524288
cell 3485841/524288 879129/131072 262303/1048576
cell 879129/131072 7094727/1048576 -552961/1048576
cell 7094727/1048576 223649/32768 -18727/1048576
cell 223649/32768 3609577/524288 102891/262144
cell 3609577/524288 7281885/1048576 -101139/262144
cell 7281885/1048576 1836241/262144 -116345/131072
cell 1836241/262144 1852097/262144 126751/131072
cell 1852097/262144 233505/32768 -247625/1048576
cell 233505/32768 7536279/1048576 -15783/65536
cell 7536279/1048576 7600745/1048576 387521/524288
cell 7600745/1048576 7665559/1048576 64949/1048576
cell 7665559/1048576 3865361/524288 -450799/1048576
cell 3865361/524288 974529/131072 116071/1048576
cell 974529/131072 1965523/262144 260751/1048576
cell 1965523/262144 7928301/1048576 -46991/524288
cell 7928301/1048576 7994859/1048576 -61587/524288
cell 7994859/1048576 8061767/1048576 66163/1048576
cell 8061767/1048576 15877/2048 30675/262144
cell 15877/2048 1024579/131072 -124933/1048576
cell 1024579/131072 8264591/1048576 -2711/65536
cell 8264591/1048576 8332901/1048576 99795/1048576
cell 8332901/1048576 8401561/1048576 -13931/262144
cell 8401561/1048576 4235287/524288 -40231/1048576
cell 4235287/524288 4269969/524288 10013/1048576
cell 4269969/524288 4304827/524288 -4175/262144
cell 4304827/524288 4339861/524288 -43319/1048576
cell 4339861/524288 136721/16384 -8239/524288
cell 136721/16384 4410459/524288 4243/524288
cell 4410459/524288 8892045/1048576 -99417/1048576
cell 8892045/1048576 4481763/524288 50375/1048576
cell 4481763/524288 9035361/1048576 -5963/1048576
cell 9035361/1048576 9107551/1048576 -51949/1048576
cell 9107551/1048576 4590047/524288 -6417/262144
cell 4590047/524288 72289/8192 55203/262144
cell 72289/8192 4663123/524288 -131315/1048576
cell 4663123/524288 4699927/524288 -601/32768
cell 4699927/524288 9473819/1048576 477267/1048576
cell 9473819/1048576 9548139/1048576 -367849/1048576
cell 9548139/1048576 9622815/1048576 73007/524288
cell 9622815/1048576 1212231/131072 -693/131072
cell 1212231/131072 9773237/1048576 -132079/524288
cell 9773237/1048576 1231123/131072 56915/524288
cell 1231123/131072 310159/32768 37761/524288
cell 310159/32768 10001549/1048576 -128299/1048576
cell 10001549/1048576 314949/32768 -853/262144
cell 314949/32768 10155545/1048576 11801/131072
cell 10155545/1048576 10233081/1048576 -99697/1048576
cell 10233081/1048576 161109/16384 13047/1048576
cell 161109/16384 10389229/1048576 45559/1048576
cell 10389229/1048576 5233921/524288 -43853/1048576
cell 5233921/524288 5273407/524288 277/65536
cell 5273407/524288 5313073/524288 9557/524288
cell 5313073/524288 5352919/524288 -2677/524288
cell 5352919/524288 5392945/524288 45/16384
cell 5392945/524288 10866303/1048576 29661/1048576
cell 10866303/1048576 10947077/1048576 -14741/1048576
cell 10947077/1048576 2757053/262144 23619/524288
cell 2757053/262144 2777427/262144 -5215/262144
cell 2777427/262144 5595783/524288 12867/524288
cell 5595783/524288 5636893/524288 10353/524288
cell 5636893/524288 709773/65536 -42325/1048576
cell 709773/65536 714957/65536 -465/65536
cell 714957/65536 2880655/262144 10237/524288
cell 2880655/262144 5803145/524288 -106855/1048576
cell 5803145/524288 11690323/1048576 53435/1048576
cell 11690323/1048576 11774721/1048576 -22777/1048576
cell 11774721/1048576 11859481/1048576 12665/1048576
cell 11859481/1048576 5972303/524288 47369/1048576
cell 5972303/524288 751881/65536 -38611/1048576
cell 751881/65536 12115949/1048576 4619/1048576
cell 12115949/1048576 1525271/131072 30405/1048576
cell 1525271/131072 12288751/1048576 -8405/262144
cell 12288751/1048576 3093925/262144 25289/1048576
cell 3093925/262144 12463015/1048576 -941/524288
cell 12463015/1048576 12550695/1048576 -1131/131072
cell 12550695/1048576 6319371/524288 14235/1048576
