# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.108415645
# certified in ARB: C_+(33) <= 1.10844   (certificates/cplus_dual_cert.py)
A = 33
T = 7
cell 2188349/1048576 1103299/524288 39659/65536
cell 1103299/524288 1112503/524288 -357943/1048576
cell 1112503/524288 560893/262144 1
cell 560893/262144 2262297/1048576 -487263/524288
cell 2262297/1048576 570295/262144 93113/262144
cell 570295/262144 2300223/1048576 -78697/262144
cell 2300223/1048576 2319425/1048576 205753/524288
cell 2319425/1048576 2338787/1048576 -22475/32768
cell 2338787/1048576 589577/262144 518907/524288
cell 589577/262144 1188995/524288 -88345/524288
cell 1188995/524288 2397831/1048576 -499157/1048576
cell 2397831/1048576 1208917/524288 -46087/524288
cell 1208917/524288 609499/262144 -311299/524288
cell 609499/262144 153645/65536 62003/65536
cell 153645/65536 2478805/1048576 18779/131072
cell 2478805/1048576 2499451/1048576 -50167/65536
cell 2499451/1048576 2520259/1048576 -195593/1048576
cell 2520259/1048576 635307/262144 -53291/1048576
cell 635307/262144 2562359/1048576 276895/1048576
cell 2562359/1048576 645913/262144 -17115/65536
cell 645913/262144 651277/262144 30033/524288
cell 651277/262144 1313363/524288 -88815/262144
cell 1313363/524288 2648507/1048576 -58925/524288
cell 2648507/1048576 2670451/1048576 -719747/1048576
cell 2670451/1048576 1346279/524288 25107/32768
cell 1346279/524288 2714829/1048576 -816085/1048576
cell 2714829/1048576 2737263/1048576 370691/1048576
cell 2737263/1048576 689965/262144 -354385/1048576
cell 689965/262144 1391311/524288 -282727/262144
cell 1391311/524288 701387/262144 262347/1048576
cell 701387/262144 1414319/524288 382239/1048576
cell 1414319/524288 2851893/1048576 -82737/524288
cell 2851893/1048576 179707/65536 -550723/524288
cell 179707/65536 2898897/1048576 96993/1048576
cell 2898897/1048576 1461323/524288 -498315/524288
cell 1461323/524288 2946561/1048576 497403/1048576
cell 2946561/1048576 2970641/1048576 -80449/1048576
cell 2970641/1048576 2994887/1048576 -37509/131072
cell 2994887/1048576 3019299/1048576 -777135/524288
cell 3019299/1048576 3043877/1048576 -148921/524288
cell 3043877/1048576 3068621/1048576 -27327/1048576
cell 3068621/1048576 773383/262144 -492443/524288
cell 773383/262144 3118609/1048576 98949/262144
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -585257/262144
cell 51957/16384 3351833/1048576 513253/1048576
cell 3351833/1048576 1689293/524288 940439/1048576
cell 1689293/524288 851377/262144 -160979/524288
cell 851377/262144 3432599/1048576 -404039/524288
cell 3432599/1048576 3459859/1048576 4213/8192
cell 3459859/1048576 435911/131072 -4787/262144
cell 435911/131072 3514887/1048576 -65233/1048576
cell 3514887/1048576 1771327/524288 -10693/131072
cell 1771327/524288 111581/32768 -341069/524288
cell 111581/32768 3598699/1048576 1
cell 3598699/1048576 3626977/1048576 -209765/524288
cell 3626977/1048576 14279/4096 -605693/1048576
cell 14279/4096 1842021/524288 33255/65536
cell 1842021/524288 1856415/524288 -228909/524288
cell 1856415/524288 3741789/1048576 519273/1048576
cell 3741789/1048576 3770919/1048576 -245153/1048576
cell 3770919/1048576 950055/262144 -868649/1048576
cell 950055/262144 957423/262144 512533/524288
