# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# float sup over x (not a proof): 1.185059518671
A = 5
T = 5
cell 1 538269/524288 -4
cell 538269/524288 276125/262144 -4
cell 276125/262144 566231/524288 -4
cell 566231/524288 145053/131072 -4
cell 145053/131072 594193/524288 -4
cell 594193/524288 304087/262144 -4
cell 304087/262144 622155/524288 -554255/1048576
cell 622155/524288 79517/65536 1
cell 79517/65536 650117/524288 1
cell 650117/524288 332049/262144 1
cell 332049/262144 678079/524288 1
cell 678079/524288 173015/131072 1
cell 173015/131072 706041/524288 1
cell 706041/524288 360011/262144 1
cell 360011/262144 734003/524288 1
cell 734003/524288 46749/32768 -73219/32768
cell 46749/32768 761965/524288 -3037215/1048576
cell 761965/524288 387973/262144 1
cell 387973/262144 1579855/1048576 1
cell 1579855/1048576 1607817/1048576 1
cell 1607817/1048576 1635779/1048576 1
cell 1635779/1048576 1663741/1048576 1
cell 1663741/1048576 1691703/1048576 1
cell 1691703/1048576 1719665/1048576 1
cell 1719665/1048576 1747627/1048576 -221517/65536
cell 1747627/1048576 1775589/1048576 -412053/1048576
cell 1775589/1048576 1803551/1048576 1
cell 1803551/1048576 1831513/1048576 1
cell 1831513/1048576 1859475/1048576 1
cell 1859475/1048576 1887437/1048576 1
cell 1887437/1048576 1915399/1048576 -1645959/524288
cell 1915399/1048576 1943361/1048576 513283/524288
cell 1943361/1048576 1971323/1048576 1
cell 1971323/1048576 1999285/1048576 1
cell 1999285/1048576 2027247/1048576 1
cell 2027247/1048576 2055209/1048576 -42203/1048576
cell 2055209/1048576 2083171/1048576 -1712783/524288
cell 2083171/1048576 2111133/1048576 1
cell 2111133/1048576 2139095/1048576 1
cell 2139095/1048576 2167057/1048576 1
cell 2167057/1048576 2195019/1048576 -698967/524288
cell 2195019/1048576 2222981/1048576 495733/524288
cell 2222981/1048576 2250943/1048576 1
cell 2250943/1048576 2278905/1048576 -781119/1048576
cell 2278905/1048576 2306867/1048576 -324335/524288
cell 2306867/1048576 2334829/1048576 -711/65536
cell 2334829/1048576 2362791/1048576 579/1048576
cell 2362791/1048576 2390753/1048576 1
cell 2390753/1048576 2418715/1048576 -437997/524288
cell 2418715/1048576 2446677/1048576 -23809/262144
cell 2446677/1048576 2474639/1048576 1
cell 2474639/1048576 2502601/1048576 1
cell 2502601/1048576 2530563/1048576 -2682115/1048576
cell 2530563/1048576 2558525/1048576 1
cell 2558525/1048576 2586487/1048576 -32811/32768
cell 2586487/1048576 2614449/1048576 109805/131072
cell 2614449/1048576 660603/262144 117061/1048576
cell 660603/262144 1335187/524288 879243/1048576
cell 1335187/524288 84323/32768 -1180739/524288
cell 84323/32768 1363149/524288 983687/1048576
cell 1363149/524288 688565/262144 965165/1048576
cell 688565/262144 1391111/524288 -995853/524288
cell 1391111/524288 351273/131072 1
