# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.108113011
# certified in ARB: C_+(34) <= 1.10815   (certificates/cplus_dual_cert.py)
A = 34
T = 7
cell 1 524299/524288 -33
cell 524299/524288 1048679/1048576 -33
cell 1048679/1048576 524413/524288 -33
cell 524413/524288 131131/131072 -33
cell 131131/131072 1049347/1048576 -33
cell 1049347/1048576 1049727/1048576 -33
cell 1049727/1048576 1050191/1048576 -33
cell 1050191/1048576 1050743/1048576 -33
cell 1050743/1048576 131423/131072 -33
cell 131423/131072 1052117/1048576 -33
cell 1052117/1048576 1052943/1048576 -33
cell 1052943/1048576 131733/131072 -33
cell 131733/131072 527441/524288 -33
cell 527441/524288 1055999/1048576 -33
cell 1055999/1048576 1057215/1048576 -33
cell 1057215/1048576 1058533/1048576 -33
cell 1058533/1048576 529977/524288 -33
cell 529977/524288 1061479/1048576 -33
cell 1061479/1048576 1063109/1048576 -33
cell 1063109/1048576 1064845/1048576 -33
cell 1064845/1048576 16667/16384 -33
cell 16667/16384 33395/32768 -7501445/262144
cell 33395/32768 1070701/1048576 1
cell 1070701/1048576 1072873/1048576 1
cell 1072873/1048576 268789/262144 1
cell 268789/262144 1077551/1048576 1
cell 1077551/1048576 270015/262144 1
cell 270015/262144 541341/524288 1
cell 541341/524288 1085419/1048576 1
cell 1085419/1048576 68017/65536 1
cell 68017/65536 545621/524288 1
cell 545621/524288 136791/131072 1
cell 136791/131072 1097533/1048576 1
cell 1097533/1048576 137607/131072 1
cell 137607/131072 1104299/1048576 1
cell 1104299/1048576 553931/524288 -663201/262144
cell 553931/524288 1111545/1048576 -1024665/65536
cell 1111545/1048576 557675/524288 1
cell 557675/524288 1119277/1048576 1
cell 1119277/1048576 1123327/1048576 1
cell 1123327/1048576 281875/262144 1
cell 281875/262144 1131797/1048576 1
cell 1131797/1048576 1136219/1048576 1
cell 1136219/1048576 1140765/1048576 88785/524288
cell 1140765/1048576 572719/524288 -80581/16384
cell 572719/524288 287559/262144 1
cell 287559/262144 577581/524288 1
cell 577581/524288 1160215/1048576 1
cell 1160215/1048576 291349/262144 1
cell 291349/262144 1170705/1048576 -1217853/524288
cell 1170705/1048576 1176143/1048576 1
cell 1176143/1048576 1181711/1048576 1
cell 1181711/1048576 1187409/1048576 1
cell 1187409/1048576 1193237/1048576 1
cell 1193237/1048576 299799/262144 1
cell 299799/262144 602643/524288 1
cell 602643/524288 1211509/1048576 1
cell 1211509/1048576 152233/131072 1
cell 152233/131072 38261/32768 1
cell 38261/32768 1230973/1048576 1
cell 1230973/1048576 38679/32768 -1492887/524288
cell 38679/32768 1244617/1048576 1
cell 1244617/1048576 156455/131072 1
cell 156455/131072 1258799/1048576 -162237/262144
cell 1258799/1048576 1266093/1048576 -2247953/1048576
cell 1266093/1048576 1273523/1048576 1
cell 1273523/1048576 640545/524288 1
cell 640545/524288 1288793/1048576 1
cell 1288793/1048576 648317/524288 1
cell 648317/524288 1304611/1048576 1
cell 1304611/1048576 1312727/1048576 1
cell 1312727/1048576 660491/524288 1
cell 660491/524288 664687/524288 -98961/32768
cell 664687/524288 668953/524288 1
cell 668953/524288 673289/524288 1
cell 673289/524288 1355389/1048576 -220273/524288
cell 1355389/1048576 1364341/1048576 -114037/524288
cell 1364341/1048576 1373433/1048576 1
cell 1373433/1048576 691333/524288 1
cell 691333/524288 1392041/1048576 1
cell 1392041/1048576 1401557/1048576 -913861/1048576
cell 1401557/1048576 1411215/1048576 361469/1048576
cell 1411215/1048576 177627/131072 1
cell 177627/131072 1430959/1048576 675997/1048576
cell 1430959/1048576 720523/524288 -111949/131072
cell 720523/524288 1451275/1048576 1
cell 1451275/1048576 1461649/1048576 1
cell 1461649/1048576 1472167/1048576 -1136301/1048576
cell 1472167/1048576 1482829/1048576 -1000713/1048576
cell 1482829/1048576 1493635/1048576 1
cell 1493635/1048576 1504587/1048576 1
cell 1504587/1048576 378921/262144 253309/262144
cell 378921/262144 1526927/1048576 22241/524288
cell 1526927/1048576 384579/262144 1
cell 384579/262144 1549851/1048576 509387/524288
cell 1549851/1048576 1561533/1048576 -2892179/1048576
cell 1561533/1048576 786681/524288 1
cell 786681/524288 792669/524288 1
cell 792669/524288 798731/524288 60195/524288
cell 798731/524288 1609733/1048576 -533947/1048576
cell 1609733/1048576 1622153/1048576 1
cell 1622153/1048576 1634721/1048576 906595/1048576
cell 1634721/1048576 1647437/1048576 -946923/1048576
cell 1647437/1048576 1660303/1048576 1
cell 1660303/1048576 836659/524288 1
cell 836659/524288 1686483/1048576 -856309/1048576
cell 1686483/1048576 1699797/1048576 62753/131072
cell 1699797/1048576 856631/524288 -844713/1048576
cell 856631/524288 1726877/1048576 188931/1048576
cell 1726877/1048576 1740643/1048576 1
cell 1740643/1048576 27415/16384 263469/524288
cell 27415/16384 442157/262144 363523/1048576
cell 442157/262144 27857/16384 1
cell 27857/16384 449305/262144 -248579/131072
cell 449305/262144 1811743/1048576 122395/131072
cell 1811743/1048576 1826419/1048576 3797/131072
cell 1826419/1048576 57539/32768 -161549/1048576
cell 57539/32768 1856229/1048576 1
cell 1856229/1048576 467841/262144 93095/524288
cell 467841/262144 1886651/1048576 -85069/1048576
cell 1886651/1048576 1902093/1048576 809549/1048576
cell 1902093/1048576 1917689/1048576 -1013485/1048576
cell 1917689/1048576 966719/524288 1
cell 966719/524288 974671/524288 -838775/1048576
cell 974671/524288 1965401/1048576 913935/1048576
cell 1965401/1048576 1981615/1048576 -67991/1048576
cell 1981615/1048576 1997983/1048576 -18549/1048576
cell 1997983/1048576 503627/262144 245981/524288
cell 503627/262144 2031187/1048576 -225325/524288
cell 2031187/1048576 2048023/1048576 1
cell 2048023/1048576 2065015/1048576 -84589/131072
cell 2065015/1048576 2082163/1048576 52583/1048576
cell 2082163/1048576 524867/262144 306029/1048576
cell 524867/262144 2116929/1048576 254187/1048576
cell 2116929/1048576 533637/262144 -6583/262144
cell 533637/262144 538081/262144 -305609/1048576
cell 538081/262144 1085129/524288 1
cell 1085129/524288 2188349/1048576 -158887/262144
cell 2188349/1048576 1103299/524288 -33641/131072
cell 1103299/524288 1112503/524288 189737/1048576
cell 1112503/524288 560893/262144 378185/1048576
cell 560893/262144 2262297/1048576 -20767/524288
cell 2262297/1048576 570295/262144 214819/1048576
cell 570295/262144 2300223/1048576 -484203/1048576
cell 2300223/1048576 2319425/1048576 102193/1048576
cell 2319425/1048576 2338787/1048576 -256845/1048576
cell 2338787/1048576 589577/262144 382145/524288
cell 589577/262144 1188995/524288 -183837/1048576
cell 1188995/524288 2397831/1048576 -277087/1048576
cell 2397831/1048576 1208917/524288 -50281/524288
cell 1208917/524288 609499/262144 -795029/1048576
cell 609499/262144 153645/65536 1
cell 153645/65536 2478805/1048576 46207/1048576
cell 2478805/1048576 2499451/1048576 -528589/1048576
cell 2499451/1048576 2520259/1048576 -396799/1048576
cell 2520259/1048576 635307/262144 71473/524288
cell 635307/262144 2562359/1048576 -184111/1048576
cell 2562359/1048576 645913/262144 -86009/524288
cell 645913/262144 651277/262144 700801/1048576
cell 651277/262144 1313363/524288 -104169/131072
cell 1313363/524288 2648507/1048576 -363037/1048576
cell 2648507/1048576 2670451/1048576 -420627/1048576
cell 2670451/1048576 1346279/524288 704409/1048576
cell 1346279/524288 2714829/1048576 -445285/1048576
cell 2714829/1048576 2737263/1048576 -31813/1048576
cell 2737263/1048576 689965/262144 -355097/1048576
cell 689965/262144 1391311/524288 -920925/1048576
cell 1391311/524288 701387/262144 45985/262144
cell 701387/262144 1414319/524288 116217/524288
cell 1414319/524288 2851893/1048576 -46509/1048576
cell 2851893/1048576 179707/65536 -963611/1048576
cell 179707/65536 2898897/1048576 -120581/1048576
cell 2898897/1048576 1461323/524288 -456523/524288
cell 1461323/524288 2946561/1048576 402789/1048576
cell 2946561/1048576 2970641/1048576 -3767/524288
cell 2970641/1048576 2994887/1048576 -193223/1048576
cell 2994887/1048576 3019299/1048576 -401723/262144
cell 3019299/1048576 3043877/1048576 -21767/65536
cell 3043877/1048576 3068621/1048576 -25375/262144
cell 3068621/1048576 773383/262144 -917483/1048576
cell 773383/262144 3118609/1048576 225501/524288
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -2312179/1048576
cell 51957/16384 3351833/1048576 335565/1048576
cell 3351833/1048576 1689293/524288 1
cell 1689293/524288 851377/262144 -28063/131072
cell 851377/262144 3432599/1048576 -869117/1048576
cell 3432599/1048576 3459859/1048576 491269/1048576
cell 3459859/1048576 435911/131072 -104555/1048576
